"","erk"
"X184A1",0.334584582079402
"X184B5",0.342938692446446
"X21MT1",0.239695564901762
"X21MT2",0.171465538783388
"X21NT",0.245563231602624
"X21PT",0.253713403117871
"X600MPE",0.29025767849936
"AU565",0.413439457112287
"BT474",0.535059085017492
"BT483",0.376511060613556
"BT549",0.417010175343231
"CAMA1",0.521589779969905
"EFM192A",0.511156543931953
"EFM192B",0.496541629480936
"EFM192C",0.448077429890422
"HCC1143",0.247155276563987
"HCC1395",0.415645920074288
"HCC1419",0.482712336944969
"HCC1428",0.57543951268022
"HCC1569",0.284543715529372
"HCC1599",0.357862268153118
"HCC1806",0.274136831152703
"HCC1937",0.226894332395613
"HCC1954",0.319026370119742
"HCC202",0.229464309647787
"HCC2218",0.380406090592303
"HCC3153",0.305741713805874
"HCC38",0.366561220419508
"HCC70",0.309503576003471
"HS578T",0.342204477322239
"JIMT1",0.376548005477639
"LY2",0.530355763481598
"MB157",0.0722059372146825
"MCF10A",0.329682696964419
"MCF10F",0.0450011403531707
"MCF12A",0.294760060018707
"MCF7",0.52396594360362
"MDAMB134VI",0.337226995853038
"MDAMB175",0.245946078895264
"MDAMB231",0.327042243561304
"MDAMB361",0.38447767520834
"MX1",0.151625817209396
"SKBR3",0.449312864552518
"SUM1315",0.40802879901944
"SUM149PT",0.281464695247375
"SUM225CWN",0.334502194606713
"SUM229PE",0.357408326269351
"SUM52PE",0.472753407597956
"T47D",0.544733036637032
"T47D.Kbluc",0.481035351446746
"UACC812",0.47622780591849
"UACC893",0.468667221343312
"ZR751",0.400464567542653
"ZR7530",0.479243036276671
"ZR75B",0.453577444681054
