"","erk"
"X184A1",0.309500665614539
"X184B5",0.280651588233332
"X21MT1",0.289819429167936
"X21MT2",0.228556234077024
"X21NT",0.293510401237769
"X21PT",0.308616848914088
"X600MPE",0.238668711518045
"AU565",0.389545033465122
"BT474",0.506765217290215
"BT483",0.334681195657729
"BT549",0.379751477962418
"CAMA1",0.498652011588446
"EFM192A",0.503822911604053
"EFM192B",0.477199467960938
"EFM192C",0.43980886973247
"HCC1143",0.29604584108763
"HCC1395",0.403441410344605
"HCC1419",0.462356011129018
"HCC1428",0.507283307242222
"HCC1569",0.201266567450974
"HCC1599",0.298656984814772
"HCC1806",0.2784663797754
"HCC1937",0.243394424185149
"HCC1954",0.326090000020957
"HCC202",0.168160491058015
"HCC2218",0.353160521551976
"HCC3153",0.297305238683592
"HCC38",0.319552954403121
"HCC70",0.26966219540268
"HS578T",0.326899236620262
"JIMT1",0.365664419471853
"LY2",0.529859971726642
"MB157",0.0846206703892979
"MCF10A",0.324985269467244
"MCF10F",0.0435237421604094
"MCF12A",0.330140115211695
"MCF7",0.519256970578254
"MDAMB134VI",0.331948767650043
"MDAMB175",0.262815856766063
"MDAMB231",0.354875769501334
"MDAMB361",0.399213663290135
"MX1",0.118934983474649
"SKBR3",0.391662600077721
"SUM1315",0.355444546684195
"SUM149PT",0.265612272433916
"SUM225CWN",0.317690002282921
"SUM229PE",0.351469564190865
"SUM52PE",0.46363332912239
"T47D",0.47386882872325
"T47D.Kbluc",0.441348171376886
"UACC812",0.476504673491964
"UACC893",0.42916431532292
"ZR751",0.407349050418738
"ZR7530",0.467070863020082
"ZR75B",0.458638037992034
