	her2
ERBB2	6.28266642158261
KLK6	4.61322987940721
KRT18	4.11451424838278
EEF1A2	4.52919051934664
EPGN	-4.11908725314383
TNFAIP2	-4.02835090214813
KRT8	4.14116880606588
ANGPTL4	4.19950181598789
DNAJA4	-3.71699484108965
EMP1	3.78756739148658
CXCL5	-4.11831157513491
PLAU	3.60095668045166
CALB2	3.71974254150813
ALDH1A3	3.66455111713899
CRYAB	-4.58521424837513
