"","erk"
"X184A1",0.43772448222619
"X184B5",0.411621642742847
"X21MT1",0.264037502425215
"X21MT2",0.188936619837111
"X21NT",0.28050895890179
"X21PT",0.281492453858871
"X600MPE",0.447302687756823
"AU565",0.576637915579323
"BT474",0.665092868097807
"BT483",0.528631921264457
"BT549",0.448657364134172
"CAMA1",0.662284985194657
"EFM192A",0.669189164892166
"EFM192B",0.641455165587168
"EFM192C",0.636924113733264
"HCC1143",0.293875817391912
"HCC1395",0.482185156656416
"HCC1419",0.579628625718248
"HCC1428",0.690077318560565
"HCC1569",0.289341508748006
"HCC1599",0.469305274600264
"HCC1806",0.310999241055638
"HCC1937",0.306197931777393
"HCC1954",0.360177588488244
"HCC202",0.363789257671527
"HCC2218",0.521210004896195
"HCC3153",0.376455900328075
"HCC38",0.391220007030274
"HCC70",0.387515625461904
"HS578T",0.33434507314032
"JIMT1",0.395101599408513
"LY2",0.726463798883187
"MB157",0.0654007102715198
"MCF10A",0.356062246003466
"MCF10F",0.0441503280629897
"MCF12A",0.323358479672444
"MCF7",0.698850248330117
"MDAMB134VI",0.499046942397146
"MDAMB175",0.342831162783212
"MDAMB231",0.339363738226434
"MDAMB361",0.513844057316005
"MX1",0.175745585741501
"SKBR3",0.589139428854377
"SUM1315",0.459462431198319
"SUM149PT",0.336537270773487
"SUM225CWN",0.435986892354147
"SUM229PE",0.435016695175895
"SUM52PE",0.574892654828355
"T47D",0.68659254170943
"T47D.Kbluc",0.631715458077581
"UACC812",0.597341030401668
"UACC893",0.615712568098958
"ZR751",0.568507334224871
"ZR7530",0.604481741046218
"ZR75B",0.589346790845713
