"","erk"
"X184A1",0.280104189801122
"X184B5",0.295024246009717
"X21MT1",0.236872239037001
"X21MT2",0.185377981086186
"X21NT",0.255023188888489
"X21PT",0.255445963254696
"X600MPE",0.296392589225162
"AU565",0.389136657502189
"BT474",0.551544779929429
"BT483",0.367396922887264
"BT549",0.369448592385865
"CAMA1",0.540340193656884
"EFM192A",0.484415777641018
"EFM192B",0.452150377205445
"EFM192C",0.418171271556323
"HCC1143",0.263289805254182
"HCC1395",0.390546430932134
"HCC1419",0.506691746636502
"HCC1428",0.553423332290313
"HCC1569",0.205940226172445
"HCC1599",0.289721914179108
"HCC1806",0.251196410025879
"HCC1937",0.219657568335348
"HCC1954",0.324188693536092
"HCC202",0.204890137488288
"HCC2218",0.388465984277892
"HCC3153",0.30608548187823
"HCC38",0.327020730547783
"HCC70",0.275246297353569
"HS578T",0.290249380854363
"JIMT1",0.353273559107456
"LY2",0.522506415214754
"MB157",0.0578988464839593
"MCF10A",0.306267205882111
"MCF10F",0.0243099123548593
"MCF12A",0.263855716519289
"MCF7",0.543954071830566
"MDAMB134VI",0.362051521843598
"MDAMB175",0.301694156366334
"MDAMB231",0.319707379165425
"MDAMB361",0.446639715152969
"MX1",0.106541528838759
"SKBR3",0.437635599408066
"SUM1315",0.343801942759366
"SUM149PT",0.240103636627934
"SUM225CWN",0.332586662899001
"SUM229PE",0.325441570215204
"SUM52PE",0.489684087470252
"T47D",0.524695528770429
"T47D.Kbluc",0.465562298147997
"UACC812",0.48017070053111
"UACC893",0.435883447450942
"ZR751",0.438357448817617
"ZR7530",0.509857693153417
"ZR75B",0.469909052671294
