	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90
1	-0.642340922872892	-0.810110521981954	-0.938589608321146	-0.837877273651696	0.225596513822886	-0.62818109810057	0.378154843941541	-0.801099742293678	-0.531936749074142	-0.684300778180575	-0.816890444861352	-0.475121875736943	-0.621984611869701	-0.306523516800369	-0.94190154392523	-0.845104164909688	-0.931689102837499	-0.78362833709926	-0.968580475050158	-0.884249431653782	0.359699887663862	-0.819137327440883	-0.795789028626398	-0.941042341991277	-0.291442306807066	-0.70001514136982	0.386962358089549	-0.876061567097546	-0.83906641109729	-0.768157213416466	-0.448003153719873	-0.658007769429588	-0.954979978350328	-0.421881097785156	-0.275826602015188	-0.160716126886673	-0.36525755494914	-0.839052665911947	-0.234341511702767	-0.965538439754347	-0.934871774052792	-0.867751536781612	-0.762497522250103	-0.721619549294445	-0.410072599746673	-0.300130495956959	-0.822116366805611	-0.680094722807175	0.106642023223893	-0.270120905329855	-0.924319533720031	-0.0401752016976716	-0.795053926096213	-0.799827125714885	-0.741401579471004	-0.833988655694034	-0.462113179561481	-0.876026831399578	-0.85507639408282	-0.846215570204614	-0.113642338133999	-0.848470883135242	-0.897355821978561	0.233895132149499	-0.966368557137454	-0.0988287996156915	-0.955637291168585	-0.246660353936344	-0.735263269823867	-0.359318710078391	0.321629172072872	0.689310511829136	-0.712990617251846	-0.867079626212753	-0.707753785240075	-0.652676025140782	-0.962736925286376	-0.557601739860326	-0.482874710070484	-0.85155957772313	-0.123205497190241	-0.538570636741931	-0.0605403404459482	-0.43965210521989	-0.891514362668875	0.0502638299426167	-0.553421713613733	-0.764700551185797	-0.697103293979733	-0.755551026480163
2	-0.439796688591351	-0.778511078606183	-0.641649062478871	-0.770185095066282	-0.684938126481281	-0.715780945930918	-0.701713642452869	-0.740197568081127	-0.664626933816162	-0.605071016031167	0.20638333384668	-0.733733119991775	-0.0587168183060253	-0.469338927043584	-0.297148817951552	-0.488316224861066	-0.530262949148519	-0.503846100429829	-0.636985144863438	-0.0817773923920604	-0.875436444709978	-0.33254036888959	-0.832547578235553	-0.585009308338179	-0.547345697958716	-0.594916333747278	-0.852052368010269	-0.247639085436486	-0.252352742026332	-0.597745339062702	-0.480440970550701	-0.768384463632971	-0.461532553828564	-0.746209145218238	-0.794630073765629	-0.785306233876368	-0.778812383851569	-0.589799355544177	-0.649282233730809	-0.511102593617609	-0.386063617935856	-0.0389060345875919	-0.196151125471415	-0.180360751349997	-0.821491204191888	-0.894769872352638	-0.784216281313341	-0.223685995899111	-0.684515257175192	-0.597120083382864	-0.477820888517099	-0.723347793147329	-0.237812603515354	-0.766798287280974	-0.442865786860893	-0.644664890159769	-0.519683156161634	-0.736625758982935	-0.120985623539215	-0.531891565557976	-0.545855857998037	-0.20314554786718	-0.462383308394999	-0.673275107717901	-0.588729777197567	-0.794521692302748	-0.433904434745544	-0.549249235707254	-0.709134569827374	-0.84474832059816	-0.724408608890737	-0.85592912988074	0.00395592856488044	-0.513238931501706	-0.134662261307884	-0.762753809309213	-0.367142995492505	-0.408365267287041	-0.806886425288161	-0.104329022547796	-0.418972630437522	-0.358915898085207	-0.565549403741046	-0.833313093022005	-0.0020545169495183	-0.698512042818075	-0.308523685217634	-0.331523117599992	0.0591057584830211	-0.654393948035079
3	-0.57495793656336	-0.792006239577134	-0.893338977358153	-0.896425689781909	0.0551848108551574	-0.571631009947028	0.152827491464749	-0.776599661262878	-0.574715845755607	-0.709338345656762	-0.838119837881385	-0.381266442218972	-0.556071253700889	-0.140460060282292	-0.954364194068551	-0.85815283934382	-0.905101455464246	-0.801021940886741	-0.967189664164064	-0.879132596197318	0.326436532270056	-0.774938633607608	-0.755807908786456	-0.910708804088169	-0.359469467840121	-0.585405327570912	0.200600916481167	-0.854970035930214	-0.854386442911504	-0.718758021641724	-0.573176725808318	-0.533029345235453	-0.912602804501573	-0.434209797996758	-0.233252410070994	-0.207137928068233	-0.292253485984663	-0.846345719722194	-0.359280889906337	-0.950580743193615	-0.892096729047319	-0.792829830840753	-0.744868119585503	-0.746293793056072	-0.395667593380502	-0.169164004959946	-0.805072864024584	-0.682826956631058	-0.0638035716866466	-0.231324947455952	-0.891877555195912	-0.088152044325997	-0.737170893360835	-0.793317207779965	-0.729552350868329	-0.814082852782052	-0.450475326682684	-0.869015484801313	-0.839165821916686	-0.879417273631529	-0.156164028985814	-0.874337444611818	-0.886747443631402	0.0628960415854505	-0.930008067274307	-0.191662069917455	-0.969481223381227	-0.296371162725204	-0.714114148448608	-0.469496341940657	0.141414002985009	0.577738748271355	-0.722182279074971	-0.836042858021272	-0.713618978487629	-0.644378612492086	-0.901830585803473	-0.553890864362969	-0.49682050552883	-0.835455904040374	-0.00872817579531898	-0.635658358136007	-0.216245227208999	-0.323166795108412	-0.846252958396854	-0.0744269160659696	-0.464346465512141	-0.736614634610549	-0.680677448415901	-0.555737703678132
4	-0.552365084429168	-0.795585782229445	-0.751739830404453	-0.668473524802093	-0.571484838329751	-0.68745329888469	-0.513214915308916	-0.831247310196624	-0.637851901252693	-0.448728719389498	0.0882689856172136	-0.733156537581862	-0.401507488512628	-0.779170486685326	-0.522098248933787	-0.622524007593324	-0.797962821401292	-0.597938712506101	-0.743669539330852	-0.465062939013062	-0.790046715370208	-0.739685369531324	-0.891186948071247	-0.803203069331641	-0.362056762912817	-0.746761021157637	-0.731324441154819	-0.577893471475462	-0.496626482358449	-0.753809902507154	-0.19555896441399	-0.830277119010849	-0.587169694019478	-0.762179471105089	-0.804147913068124	-0.68133839002249	-0.819676225484318	-0.720771643517798	-0.559636403985253	-0.539482597473748	-0.670684434897448	-0.687098998370748	-0.403568568530523	-0.502498273923464	-0.852458374489205	-0.880049579471083	-0.829228018396806	-0.361171889606404	-0.44356226691046	-0.705312498345019	-0.777888456740804	-0.503280214888695	-0.410402434694643	-0.80726236088763	-0.640835017520085	-0.739142943271005	-0.494190443641041	-0.838206763062889	-0.587317974510946	-0.406995070061632	-0.445765484283491	-0.361681810601139	-0.683796778540775	-0.625729889630294	-0.757752212262802	-0.748699183580773	-0.482424408112478	-0.413848981585257	-0.773339076301522	-0.775253467893589	-0.750633958812272	-0.833843868021067	-0.135670493747344	-0.629324939300174	-0.267983912937941	-0.767818163266715	-0.596310212174289	-0.695849861142107	-0.796193013777398	-0.66113118047308	-0.421221798731091	-0.372623556543868	-0.507961740026197	-0.870385413142386	-0.589962480462305	-0.53794836315594	-0.676758899520552	-0.342706630868703	-0.239772781418879	-0.880074107435011
5	-0.684610984924306	-0.534947922197628	-0.126947889567764	-0.808031907688442	-0.857476980443583	-0.714645582841864	-0.915471510799571	-0.0238321126548638	-0.830424503738886	-0.865384785855063	-0.734234923446528	-0.485996509004348	-0.285230190211478	-0.049881439666928	-0.25259780876838	-0.433245058504356	-0.020651028054156	-0.727023509416064	-0.33297497274291	-0.0549329592159481	-0.653330267054923	-0.0709389625973561	-0.432259700150012	0.235210321038375	-0.830755574043231	0.203559541550171	-0.820055282737546	-0.342707989018074	-0.184894276568642	-0.0530632509793717	-0.962167998363935	0.144708637575215	-0.478542259643647	-0.664403325396865	-0.544617153914079	-0.806418054320693	-0.35394242931812	-0.111032292377095	-0.797075810361991	-0.638223840205331	-0.302769447088314	-0.298727795010507	-0.476791402615998	-0.251646180656311	-0.58964788564986	-0.431991577629375	-0.619435925892529	-0.326141968531381	-0.905381376059892	-0.905740832762763	0.0401306776438932	-0.83093344628442	-0.583235316436213	-0.436055138387116	-0.478220669335629	0.0843617388921578	-0.607539689162614	-0.0752806885946235	-0.661587353232713	-0.61103152117267	-0.885961428335243	-0.712294117681507	0.0716325625134172	-0.935814934956408	0.22191403086375	-0.69083422783783	-0.483514352703013	-0.73414313219757	-0.265042939537397	-0.852882808854937	-0.823685267408726	-0.888512414539981	-0.713465730631868	-0.15292317728827	-0.750446362671903	-0.141031332629538	0.0379599945489075	-0.388762765915345	-0.899105987990517	0.0324248841891184	-0.717118112769135	-0.775835336823327	-0.896558253595325	-0.234527050236594	-0.0484047639928551	-0.881545694595826	-0.33483882219397	-0.627012333953081	-0.590448430517531	-0.479399778345088
6	-0.537175626984594	-0.723244253219173	-0.897136287714657	-0.82037256880734	0.10393004720179	-0.491021763311015	0.172779053229727	-0.723356355248255	-0.523437990903491	-0.673104929013047	-0.792610567555428	-0.43773889600434	-0.530503403134938	-0.187573163560353	-0.947011117762368	-0.859153039686476	-0.910987886625864	-0.819176413803751	-0.944001390379788	-0.91550033205208	0.386248844080086	-0.804170904317729	-0.700457825620887	-0.923738107261634	-0.377095569339207	-0.541816515828244	0.249045068175333	-0.854658903972066	-0.882207290447609	-0.674606138818758	-0.499034204420363	-0.487741860894051	-0.935747678031364	-0.428578606923445	-0.255843213631334	-0.366370096075686	-0.220079311149048	-0.794015430985368	-0.467913148852177	-0.961133653283304	-0.922146143867341	-0.841119319732705	-0.692565335269988	-0.713678916306466	-0.465341721480857	-0.161868954724602	-0.733085152350242	-0.690146142844705	-0.0459057783715899	-0.281351856798883	-0.887186486740823	-0.0802182680694005	-0.7785001643031	-0.821791811402645	-0.723316777625094	-0.750960307844981	-0.475810720856478	-0.852776676452135	-0.826821605630292	-0.859553368600285	-0.146919615364412	-0.877214570731499	-0.90590013280245	0.0287325579638772	-0.915558764940955	-0.241112964260512	-0.957200965733201	-0.291114141691915	-0.703827524238968	-0.362863712550637	0.115762433695954	0.503109524911612	-0.696119389738551	-0.859171515405887	-0.730672636804313	-0.591741858705737	-0.890538682569826	-0.514360941704682	-0.543389120266406	-0.816323449525765	-0.000944568450379835	-0.585657863968509	-0.264258290607555	-0.267291953323608	-0.85139978483809	0.0106943421203208	-0.502187895324316	-0.735287951588333	-0.673486451524089	-0.647404447201009
7	-0.394154154309794	-0.588196859206445	-0.348341603119164	-0.722445554532685	-0.781090688918647	-0.57627026444335	-0.768989194695237	-0.525434020080754	-0.693127792893745	-0.685529679403549	0.0397807684947743	-0.807548527723672	-0.141604016049635	-0.483532880148072	-0.203816811788682	-0.403171995398773	-0.421405270743647	-0.41358668998268	-0.417397396934861	0.0545205014592776	-0.872268395505767	-0.278636897274412	-0.691122949635527	-0.22049765431559	-0.684325047010452	-0.497520072394202	-0.867720133507333	-0.307982078707253	-0.275883701898816	-0.431592285567792	-0.510759789410369	-0.596137689581196	-0.5416652782236	-0.753955790926652	-0.802147572029177	-0.827160540997654	-0.799364846729931	-0.28469517389464	-0.722310173304669	-0.318539776909786	-0.388378215225428	-0.163334863076813	-0.309364589448941	-0.192653507950365	-0.820786423071083	-0.92288898072136	-0.653410126417399	-0.247979232247954	-0.750966562968363	-0.592092663510341	-0.177059651389124	-0.721639113183763	-0.312164457509147	-0.756965063723192	-0.444568096081429	-0.528697625057819	-0.570920422725887	-0.549379257561083	-0.149813728276439	-0.69716420679781	-0.554614483924213	-0.247931075075762	-0.419690763795959	-0.697469454626538	-0.46379780993751	-0.85116246823011	-0.345942298567382	-0.588602807504739	-0.681873819574043	-0.854007723203555	-0.773854839260387	-0.866679848919135	-0.0365809101396519	-0.432794401461568	-0.443230621573311	-0.606963952645867	-0.249861706458382	-0.451280827855375	-0.809266183979703	0.055550798676948	-0.380969727398024	-0.498548020689574	-0.578322555305715	-0.783280667924911	0.0320676178996808	-0.708239689351242	-0.320097001532747	-0.43702215482031	0.103364312969464	-0.617951182776557
8	-0.739515388912544	-0.795368688170106	-0.938136823367184	-0.607059163935496	-0.153376639710225	-0.891653539142089	-0.021862588544081	-0.92526038473597	-0.36872586537018	-0.319392869545263	-0.829222735325237	-0.646101427042515	-0.774488363601815	-0.869977789040801	-0.882030600510686	-0.725094216742202	-0.743311100822012	-0.704623489081615	-0.809309033014389	-0.930043348950892	-0.599431874949257	-0.846646635176971	-0.853397380928782	-0.937714767915671	-0.307805310667092	-0.930959902857599	-0.38525919880583	-0.894620822362008	-0.924142920171813	-0.912409585052903	-0.42363562237914	-0.919300244265477	-0.950611869675205	-0.632048240400956	-0.47019085136935	0.453533118554675	-0.781748200733064	-0.901083671910132	0.199691795628716	-0.909225216071392	-0.812420176576113	-0.787392828583356	-0.824363681696639	-0.805745338604237	-0.134524969560488	-0.699853377743785	-0.74635675242038	-0.848602028805713	-0.0723739371178288	-0.411995197369211	-0.936394050265769	-0.85611423903312	-0.462780235125146	-0.756932939789321	-0.872079955833424	-0.911719457879951	-0.82860539572123	-0.873222219619712	-0.914919199944573	-0.787870000158461	-0.456758974236433	-0.37227124414233	-0.870959393957253	0.0824726802590344	-0.93533818463316	0.144554256604829	-0.649717355305359	-0.671653978413328	-0.789796099399203	-0.492580818246347	0.0874451767683757	0.0544694648833733	-0.746107624092082	-0.853653654964067	-0.514863190610723	-0.723250214983945	-0.899600183289449	-0.673019732005715	-0.0312323708562895	-0.953351093819412	-0.727265354075965	-0.338469756064629	-0.0631341230900255	-0.861160079114085	-0.876498436792469	-0.268409714662567	-0.717864338025999	-0.786509866697218	-0.886562756293151	-0.513919280684649
9	-0.512929195477363	-0.802836206974343	-0.850610226357133	-0.868625622945521	-0.0971165065325836	-0.613182550909489	0.00601343514481749	-0.710358270622228	-0.497424104292371	-0.782489649757079	-0.717254976237714	-0.340653111358018	-0.261529315287675	-0.0440690097823835	-0.927041054160039	-0.816832844373458	-0.89432638097061	-0.888140632226127	-0.952111570510978	-0.871473240115672	0.312423940922269	-0.768442686052442	-0.760892031090311	-0.924941270279325	-0.42160371939094	-0.55027881735056	0.0899153605585346	-0.807229659028488	-0.872065903953009	-0.705357744138818	-0.49532496196159	-0.573242725570305	-0.90892058793183	-0.511954163210328	-0.384960335149873	-0.466617385149108	-0.301503561873747	-0.768038640475657	-0.598574280439401	-0.926265776227493	-0.905319903662735	-0.847686126553289	-0.628422500808045	-0.669016494877446	-0.473033323386692	-0.259159309767163	-0.748401178117288	-0.687082539182964	-0.191155704219595	-0.297555469184436	-0.888963856046459	-0.135547210203365	-0.74722707086057	-0.867591064666204	-0.632271219639053	-0.67966193524933	-0.52671906237182	-0.865592752866171	-0.775982238007185	-0.79690705922141	-0.197565421465219	-0.86030886147293	-0.941208243873383	-0.104241518038915	-0.898620435304776	-0.415040867551506	-0.93385600227247	-0.400467495583581	-0.798258628019446	-0.523134871244651	-0.0193192503342934	0.570762245982864	-0.480848706134837	-0.87862969542067	-0.68910878562139	-0.740835410457656	-0.893116590630051	-0.47370187169705	-0.658755284651142	-0.661798061578122	0.0967592087539015	-0.569520683643148	-0.219198659502352	-0.375520619175798	-0.795057657346255	0.0194445648827929	-0.333121655447686	-0.743592803074814	-0.663423340721477	-0.65362351325064
10	-0.772906985234109	-0.780714544704306	-0.927844665657619	-0.59452002481535	-0.221639657545849	-0.901167882587934	-0.0910197299972965	-0.913119657653435	-0.381576576632007	-0.305640210673897	-0.838759978812125	-0.687856766553447	-0.766456169355995	-0.894888798072885	-0.863895629182814	-0.68883860139644	-0.699530668368955	-0.658732051054159	-0.793325427181228	-0.931075580525956	-0.64690825685893	-0.827432841512041	-0.838988033700107	-0.92912574703829	-0.347696169501371	-0.918381206438474	-0.443903672351184	-0.87102412446068	-0.927668335700488	-0.920385900199444	-0.430076118132199	-0.920970382501718	-0.9148883709106	-0.64546139011309	-0.490183663534997	0.4060682389162	-0.809135338698002	-0.894381034084534	0.139265558508244	-0.896888353694105	-0.758806506340209	-0.782566660359024	-0.820940565538244	-0.813040516817957	-0.131687089162257	-0.693811909257207	-0.740729279820767	-0.840039923680447	-0.111537645058717	-0.402804441935914	-0.92821580482824	-0.890415647847343	-0.408709421687282	-0.743804876738418	-0.87747156719817	-0.898934548632436	-0.842705874757289	-0.864305078980796	-0.902156415655725	-0.781304919351242	-0.475752114217201	-0.297144730003642	-0.833547824897033	0.0201927829730773	-0.923195531136073	0.0974251818526976	-0.610397295144827	-0.668227988449683	-0.794633978223114	-0.527657468235994	-0.0276061131606607	-0.0405226122212367	-0.749216236732557	-0.862953066934838	-0.507044018916875	-0.717069152740397	-0.902669072092249	-0.703867990502692	0.0544878409860632	-0.949225497815023	-0.732176340700781	-0.367682773421526	-0.126638797517774	-0.856673502494428	-0.842258645766312	-0.334842841632233	-0.723510199005165	-0.775403167442098	-0.890368550574387	-0.473626168795957
