"","erk"
"X184A1",0.0373225130627457
"X184B5",0.103887423734712
"X21MT1",0.0779305653395942
"X21MT2",0.0456585520948358
"X21NT",0.0712260972611233
"X21PT",0.0567908572969554
"X600MPE",0.750460372049807
"AU565",0.941537822177577
"BT474",0.980040295826059
"BT483",0.958578166226921
"BT549",0.0380212422810572
"CAMA1",0.974127887361611
"EFM192A",0.972265872773735
"EFM192B",0.943044309227301
"EFM192C",0.985625506578776
"HCC1143",0.089476712634683
"HCC1395",0.0990829421679747
"HCC1419",0.978786674343232
"HCC1428",0.9359094774592
"HCC1569",0.209397848595452
"HCC1599",0.649612705803455
"HCC1806",0.0792074098247939
"HCC1937",0.0874499776576407
"HCC1954",0.268685818208699
"HCC202",0.72986304713922
"HCC2218",0.971858837658555
"HCC3153",0.137518791169072
"HCC38",0.0254299032249854
"HCC70",0.231213646611378
"HS578T",0.0285752800808787
"JIMT1",0.0944780882457121
"LY2",0.939152008021052
"MB157",0.00856967656685633
"MCF10A",0.0196828166314524
"MCF10F",0.00654866201616261
"MCF12A",0.0249634772328159
"MCF7",0.97407954054266
"MDAMB134VI",0.960630765975898
"MDAMB175",0.924185423714815
"MDAMB231",0.0324943710602493
"MDAMB361",0.951385957534374
"MX1",0.14601037325944
"SKBR3",0.901539485730701
"SUM1315",0.147249220083376
"SUM149PT",0.0352486371623818
"SUM225CWN",0.724837422906607
"SUM229PE",0.159958677529657
"SUM52PE",0.597329059140887
"T47D",0.964049204120425
"T47D.Kbluc",0.892823585983927
"UACC812",0.974593214368354
"UACC893",0.954988282025551
"ZR751",0.965559272587769
"ZR7530",0.975627139985487
"ZR75B",0.972416496848797
