	4EBP1	4EBP1p37	AcCoAp	Akt	Aktp308	Aktp473	AMPKp	B.Catenin	Bcl2	Caveolin 1	CCNB1	CCND1	CD31	cJUN	cleaved.caspase.7	Collagen.VI	E.cadherin	EGFR	EGFRp1068	ER	ERK2	Fortilin	GSK3	GSK3p21.9	IGFR1	JNK	JNKp183.5	MAPKp	MEK1	mTor	p110alpha	p21	p38	p38p	p53	p70S6.Kinase	p70S6Kp389	PAI1	PDK1	PDK1p241	PKCalphap657	PKCalpha	PR	PTEN	Rab25	Rb	S6p235.236	S6p240.244	src	srcp416	srcp527	stat3	stat3p705	TSC2	VEGFR2	COMT	ERp118	Stathmin	Telomerase	YB1	CCNE1	AR	GATA3	NOTCH3	IGFBP2	FGFR1	HER2	HER2p1248	EN1	EIG121
HCC2185	0.565156512	0.887791018	-0.019848432	-0.297999023	0.792431016	1.652784019	0.157945842	-3.726514556	0.015047467	-2.261718253	-0.079007131	0.569941358	-0.503826684	-0.490547959	0.195072595	-0.498797632	-0.516896342	-0.299842506	0.609898309	-0.485078243	0.535968365	0.222052636	1.1126539	0.757893851	-0.888196736	0.363579774	0.547200503	-0.965373406	-0.684035934	0.699959045	1.335021165	-0.581380004	0.778115566	0.631887608	1.486537323	-0.607719628	0.792347407	-1.322445482	0.441354874	0.770056059	0.192405339	-0.484873435	-0.569149699	0.230863028	0.302240498	1.574604516	0.124924225	0.539249317	-0.21884263	-0.090520638	0.138570394	0.153092005	-0.274058436	0.328920008	-0.140368538	3.246944683	0.290844784	0.712254964	-0.190737294	-0.379572222	0.758243547	0.502897929	0.144578657	0.391662223	-1.57656027	0.547388235	0.339850353	0.219373566	-1.160198587	-1.534564066
HCC2218	-0.173368795	-2.011109292	2.142919209	0.286851914	-1.603773341	-3.164357327	0.98449521	-3.485067779	-0.581852815	-4.814663106	-0.954073604	0.486874626	-0.074872535	-0.704299222	-0.257472106	-0.311096115	-2.319917558	-0.331955811	-0.426483475	-1.899139604	-1.162352847	-1.257824421	-0.848588738	-0.90358771	-0.630671242	-0.509278269	-0.565865991	1.70457032	-0.977040693	-0.499342738	-1.094602155	0.554344547	-0.435858329	-0.267284121	-1.364222041	4.384047273	-0.82439963	-2.029882655	0.365743548	-0.089368239	0.502577308	0.874458772	-0.988403351	1.300931626	0.495950731	-1.963427947	0.717268669	1.026511149	-1.11937729	1.453218461	-1.11143554	-1.348824901	-0.233252791	-0.581631606	-0.658141272	1.865895605	0.151516087	-1.807546262	-0.361223538	-0.134685732	-0.642547712	2.512835028	-0.144729764	0.273545138	2.042366229	-1.193661712	6.136026152	10.8661409	0.778286027	0.005466114
HCC3153	-0.963066464	-0.023757969	-0.339920092	-0.865673134	3.406504028	3.063418508	1.183920756	0.837080619	0.536096161	0.180038469	-0.565078191	-1.175435013	0.169906779	1.377674495	0.016527559	-0.338920184	-0.638031847	-0.94443566	0.322923014	-1.428984246	0.538136857	0.765096512	0.608462439	0.720365434	0.594245891	0.360809452	0.567475546	0.228923348	-1.03034919	-0.515765902	0.153856168	0.455188143	0.28490645	1.065043615	-2.171991271	-0.339837157	0.190444461	-0.43494627	-0.876439573	-0.512574876	0.5362858	1.036597424	-0.626031584	-3.663453004	0.104663901	-0.855871648	1.597842662	1.358703234	-0.493075574	-0.634878348	-0.211861978	1.539450155	0.804655681	-0.128200116	-0.072215925	0.036518064	-0.451863601	0.108984437	-0.38436961	-0.152763082	1.258639429	-0.889959449	-0.482487766	-0.575094076	0.506842852	-0.335888374	-0.726119792	-1.061218511	0.647345671	-0.458015058
HCC38	0.646197416	0.383408037	1.567705391	-0.809794012	-0.603575916	-0.530417558	0.345462095	1.511438803	0.448107723	4.758437881	-0.686030767	-0.919559901	-0.231117346	-2.112941689	-0.254830045	0.67999694	-2.872399529	-0.207068562	-0.339561435	-1.706042174	0.827556414	-0.131202214	-0.05888245	-1.336948599	0.482698558	0.228854245	-0.215395314	0.696159276	-0.586884762	-0.015347906	-0.236165497	0.42387143	-0.546659438	-0.125395921	4.323453391	0.093967968	-0.377218808	-1.344745481	-0.053590717	-0.383549316	3.595136408	3.439230641	-2.015266996	-4.087131514	-0.905243992	-0.123494786	-0.967826536	-0.610084289	0.593922625	1.225078916	0.858337073	-0.072434061	0.175997693	0.258361621	0.238777706	0.125004359	-0.897302404	-0.249996131	0.163925583	0.816375971	-0.019559486	-1.419518035	-0.155970249	1.067042389	-1.458197788	2.452752195	-2.755055801	-3.372744384	-0.337772758	-0.221737387
HCC70	-0.700345741	-0.264830476	-0.487617112	-1.26922506	0.872274699	1.107838647	-0.766053439	0.882364444	-0.330426412	0.175519682	0.149182411	-0.595546423	-0.751838636	-0.113311369	0.560780682	0.308412296	1.530975391	0.709343968	-0.596799709	-0.881603008	0.660726708	-0.089847351	0.107738395	0.139240624	-0.096216848	0.240883457	0.173999905	-0.921462889	1.410572154	0.537421655	0.344425789	-0.083267295	0.526589553	-0.076611516	4.450732511	-1.191356001	-0.55246789	-2.22644574	0.553102343	0.416431904	-2.73083422	-2.762750646	-0.428919984	-3.914516271	1.353143298	0.072715115	-1.465323985	-2.121746156	0.186663609	0.311656593	0.129964096	0.030502814	1.446100403	0.22070937	0.262874592	-0.596731003	0.667970986	0.528313534	0.234926487	0.244762133	-0.394361175	-0.714141172	0.872421292	3.445759668	-1.622682779	-1.642565934	-1.806801805	-2.266584838	-0.754014689	0.452246382
HS578T	-0.343854219	0.030962144	-1.49270489	-1.041708501	1.203566782	1.935620185	-0.286146739	0.124186284	-0.534900269	4.809243105	-0.611308217	-0.178633865	0.087285673	3.947877138	0.242481766	1.406452662	-2.232036637	-0.185063476	-0.474136824	-1.452711359	-0.257417652	-0.356279658	-0.104106246	-0.126535047	-3.294760047	-0.701601542	0.150311157	0.266711872	-1.231065574	-0.702573675	-0.025768831	-0.603787334	-0.947335312	0.743678447	-0.829684164	-1.644829477	0.299136302	6.976732358	-0.957446943	-1.142764844	1.549984944	1.686794433	-0.711359979	0.663015282	-1.357870751	-0.225887548	0.97166224	1.096233689	-1.809471938	-1.364456878	-1.348264439	-0.785298108	-0.89488844	-0.5017833	-0.50016534	-3.13891223	-0.356873547	-0.43339915	0.121561988	-0.821616544	-0.481867704	-0.727432021	-0.825275811	-1.035175154	-1.69299899	1.905498975	-2.532799249	-3.560706254	0.558686127	-0.613419086
LY2	0.503287613	-0.173006738	0.980335921	0.818679685	-1.012812089	-1.019073039	0.442027106	0.443345068	-0.451015325	-1.782471504	0.661641281	1.153596195	0.176935133	-1.465714112	-0.374273905	0.052445383	1.312279921	-0.295697545	-0.251708757	4.001420887	-0.389380585	0.040177413	0.239439759	-0.103795607	0.590045635	0.345411689	0.439195551	-0.911204158	0.208307556	0.192656976	0.408782547	0.262389585	0.264005021	-0.462972759	-0.768119979	4.610182276	1.899645672	-1.732004107	0.787233015	0.6830724	0.404549349	0.385479736	-0.470001786	1.24845803	0.749826309	0.312165764	0.443955273	0.948252993	-0.956722103	-0.113845386	-0.352053722	-0.735357558	-0.679273354	0.22110434	-0.008840133	-0.805652518	0.191131106	-0.521268018	-0.528306414	0.39588646	0.002456336	1.179489692	1.967953191	1.196863721	1.236632294	-0.027369187	-1.4836096	-2.47470959	-0.229525313	0.828966581
MCF10A	0.099394782	-0.121777458	-0.124988253	0.42777797	-1.088615153	-1.697296611	0.36500694	0.558654859	0.638857191	4.994474791	1.230508546	-1.151090222	-1.288072471	0.307251893	0.658002749	-0.534014056	-0.837554116	0.114683834	1.030453223	-1.308217355	-0.302918143	0.048184018	-0.318880046	-1.032052556	0.933320894	0.233099426	-0.067077899	1.316599644	0.809248466	-0.532566432	0.432680972	0.253516442	-0.334742122	-0.161830943	-1.567432899	-0.260039067	-0.935787666	5.384279769	-0.73389977	-0.634854523	-0.969776131	-0.567507692	-0.992336111	0.366845168	-1.060749147	1.240772695	0.497010754	0.677049458	0.728270581	0.386028915	0.55012652	0.247453803	-0.085260286	-0.452884313	0.850042337	-2.243389796	-0.121860015	0.551933118	0.661299667	-0.555382179	-0.470629905	-0.422333111	-0.707425891	-2.337893948	-1.287112074	-0.612797685	-2.28226426	-2.833071397	0.281104734	-0.147506369
MCF10F	-0.032467117	-0.616139807	-0.920011845	-0.535847426	-1.267730797	0.481198255	-1.021348725	0.712464521	-0.19254276	4.969953761	1.634901914	0.059318965	-0.59342504	-1.448014219	0.568865967	-0.459966682	0.745556044	0.46417841	0.576502018	-0.958072326	0.02451169	0.041622208	-0.419912722	-1.409751502	0.661558868	0.400033078	0.242680568	1.409127851	1.112612779	-0.906433709	0.110543987	0.433272513	0.062949122	0.078425728	-1.650648361	-0.654802932	-0.552281393	1.631541248	-0.418547358	-0.503671945	-0.222710019	-0.088538101	-0.57144032	0.905332619	-0.264843135	0.061076308	-1.455532233	-2.11858698	-0.444535423	0.50622438	-0.696648718	0.739962028	0.807004225	-0.26462189	1.356758131	-0.732525134	-0.179522328	0.691059784	1.447140148	0.25258755	-0.700637449	-0.622549098	-0.368306269	-0.301643892	-0.72487205	0.113729436	-1.706635575	-2.634749845	-0.002780394	0.266364318
MCF12A	-0.788710844	-1.020101542	1.010312882	-0.296670773	-1.023840156	-1.192823601	0.127139113	-0.502736359	-0.486946499	4.502805321	1.604613797	0.168552514	0.277692433	1.323002276	-0.005929331	-0.009218146	0.311440815	0.359371489	1.031640602	-1.029601158	-0.616993526	0.859992727	-0.276361574	-0.070524334	0.266021742	-0.180560094	0.021580246	1.33958074	0.405196788	-0.052069216	0.1950546	0.460128443	-0.163208363	-0.180545386	-0.409561001	0.051551191	-0.549968294	3.287961133	-0.450459111	-0.907035805	-0.176125468	0.026091805	-0.408251987	1.063912179	0.014259732	0.314071492	1.140880514	1.183187876	0.278186864	0.665708652	0.022755312	1.834056381	0.432572493	-0.339208082	0.180456681	-1.775160161	0.068522507	0.084132348	0.461350817	0.313282081	-0.313405021	-0.663763169	-0.875264111	-0.644605183	-0.93194031	-0.740433129	-2.20330604	-1.376172757	0.432636244	0.207211456
MCF7	-0.278508562	-0.321489212	1.109992189	0.717517849	-1.3860912	-1.316525423	0.850932295	-0.27104283	1.516290919	-4.687901028	-0.023972777	1.444458857	-0.167855453	-2.107832517	-0.293958323	-0.24577343	0.854742598	-0.93998773	-1.035696745	5.256511352	-0.44386927	-0.383941355	0.112798171	-0.71691858	1.188659773	0.093255045	-0.140389854	-2.184491922	-0.179313931	-0.302815499	-0.385891343	0.538848968	-0.224479157	-0.69661354	-1.159551474	5.208929855	1.557677983	-1.498921578	0.263409725	0.10196501	-0.868879459	-0.326077975	-0.197638514	1.818312037	0.661028803	-0.384699403	0.930334586	1.447812929	-1.958059924	-1.204889382	-1.38467367	-1.079596487	-1.107954355	-0.322187948	-0.231956053	0.015861337	0.27836368	-0.271093861	-0.692553726	0.205610257	-0.567038649	2.125655828	2.588604236	1.089264625	1.417310616	-0.297579456	-2.269989019	-2.151731302	-0.070487273	1.196848087
MDAMB157	0.927415855	0.828581223	-0.454105559	1.907090902	-1.213258941	-2.058921243	1.360860164	0.017251523	-0.319554896	3.014030926	-1.988875817	-0.784476714	0.189338328	1.816597026	0.031901716	2.464598441	-1.441981232	-0.679183468	-0.312703104	-1.398310583	-0.192735889	-0.451786677	-0.204172993	0.469992728	-1.448699847	-1.067884654	0.510078815	0.696618931	-0.895951865	0.911263569	-0.069371643	-1.042248608	-0.292837586	0.243830094	-3.325875472	1.029108518	1.338201849	-1.154872415	-0.73654135	-0.170106987	3.533540612	3.748068456	-0.049670067	0.878619324	-0.85637018	-0.159283955	-0.013833201	0.364948531	-2.387465133	-1.654108065	-0.425167543	0.479978578	-0.507772821	0.242495298	-0.811896024	0.530617016	-0.850251534	0.637783859	-1.315171157	0.199596456	2.281289995	-0.998595336	0.288152736	1.062329017	-0.63600763	2.404483282	-1.09453694	-2.523454453	0.167564709	-0.908140824
MDAMB231	0.164190921	0.199319609	-0.839088242	0.308644338	-1.249045577	-3.129692859	-0.373954506	-1.126258742	-0.327497635	5.287594082	1.390863244	0.839611005	-0.027569261	2.536858031	-0.371558003	-1.127202664	-1.518950328	0.283571637	0.057212708	-2.062532695	0.008182829	0.409849409	-0.277190502	-1.165204902	0.096671036	0.241808208	-0.046882462	3.906763255	0.318644539	-0.445378612	-0.085878781	0.836105513	0.541509916	0.525942369	4.070213365	-1.008268373	0.692540719	2.746856596	-0.196540387	-0.162760227	2.406874006	2.27424889	-1.237276112	0.8472797	-1.035979237	2.144911334	1.822905067	2.04145794	0.095808494	-0.873026057	-0.037565207	-0.11906179	-0.845228281	-0.272736951	0.070751513	-0.891262678	-0.283027124	0.317538484	0.402790032	0.817874591	-1.446038459	-1.791910227	0.540428108	-1.209470962	-2.359025205	1.410577506	-2.432314482	-3.303486199	1.179882394	-1.738796409
MDAMB361	-0.026912195	-0.037213297	0.609743484	0.99547239	-1.271442599	-0.940367945	0.669425806	0.846983307	0.193136691	-4.056217215	-1.343314628	0.734444553	-0.237235036	-2.389858594	0.262372482	0.014875542	1.824197223	0.065117135	-0.240382402	3.592877718	0.160466098	0.131178506	0.108178268	0.324121059	0.852902893	0.037234305	0.098861979	-2.16443259	0.488157618	-0.335057742	-0.102535713	-0.149434965	0.45722487	-0.237141482	-1.725751403	1.842977283	0.836415366	-1.915416022	0.666151738	0.176145167	-0.756732781	-1.046480204	3.379652718	1.78458206	-0.28587312	-0.03644255	0.554848173	0.972427034	1.266589786	0.124043304	1.348467571	-1.390423783	-0.655669935	0.128689449	0.051271236	2.491467616	0.92489202	-0.366820761	0.625899482	0.233832096	-0.950827003	2.48540681	0.239518483	1.111782222	3.359733634	1.649452714	1.670648977	4.595265249	-0.819552829	0.642677723
MDAMB415	-0.609071899	-0.420126093	1.108823847	0.470306876	0.765141696	1.885195876	-0.116478023	-0.106025424	-0.261167964	-3.44044601	-1.26712148	2.485293153	0.497139652	-1.16171341	0.438911557	0.004636436	2.677779234	-0.408666849	-0.024609741	2.691880917	0.347720937	0.218780473	0.129201772	-0.099506612	-0.501346992	-0.509321235	0.1801854	-1.395909802	-0.04696223	0.179398923	0.346182665	0.027701945	0.748784274	0.225155577	-0.112708166	-0.801760307	0.839695177	0.016856442	0.032915431	0.303851947	1.071236467	0.786676968	0.087319161	-1.569367808	0.406833334	0.244896029	0.347914731	0.94809103	2.214931023	-0.737757184	0.761857285	-0.430545617	0.722505444	0.328545222	0.115150915	-0.095556503	0.536273729	-0.313251144	-1.014546547	-0.252141816	-0.220602164	2.362350345	0.627597471	-0.064830915	1.819651314	1.144743826	-0.89793341	-1.800109621	-0.092576805	0.652451697
MDAMB436	0.447321735	-0.200443752	0.36234585	-1.552702642	2.017529214	2.834152013	0.222820609	-1.089074618	0.699861741	3.054475052	0.988202685	-1.623076587	-0.199140959	2.56669216	0.192850959	0.004245168	-3.320620451	-0.400857471	-0.351144506	-1.668515881	-0.445295316	0.383734758	-0.392041712	-0.151536899	0.237720521	0.309701538	0.352961929	1.256100305	0.564830967	-0.101071158	-0.833849115	-0.309725823	-0.59705376	0.820280722	-1.687209329	-0.809417549	-0.942744575	7.713100777	0.015338768	0.148174707	0.496500978	0.75215828	-0.456546275	-3.553322157	-0.969678838	-1.220437994	-1.885457151	-2.879262696	-1.533370417	-0.272055617	-1.373674835	1.031871368	0.339778186	-0.486839448	0.859468235	-2.32136267	0.044020071	-0.038959783	0.887479417	-0.313692326	-0.082551217	-1.178656067	-1.346864663	-0.781485825	0.030519312	1.876883582	-2.423826847	-3.478174673	-0.225112388	0.052844738
MDAMB453	0.946271664	0.791131775	-0.025769975	1.434146435	-0.805320588	-0.901061076	-0.61251478	-3.907303364	-0.118218994	-4.113225711	-0.025768346	1.733992662	0.449243039	-2.141593765	0.07730915	-0.202510834	-1.917973492	-0.490786391	-0.661435723	-1.978466163	0.016333592	0.93041969	0.397725937	-1.252290128	-1.105933241	0.215594501	-0.05247004	-0.534239162	0.321047761	-0.364839924	0.19590518	0.087924777	0.172304084	-0.041073611	-1.507607922	0.775203529	0.689259583	-1.546376992	0.243499458	0.265926539	-3.235172236	-3.068477849	-0.586007949	1.398078397	-0.056931262	1.349729555	0.611843383	1.004571008	-2.901964409	-1.485079188	-3.941935376	-1.361262433	-0.825273666	0.117626642	-0.075410039	1.527923427	-0.159052258	0.861644541	0.300912095	0.310925819	-0.115682095	4.456470861	1.15842546	0.95250909	1.237917989	-0.171301677	1.347795994	0.718396638	-0.40962857	1.061664467
MDAMB468	0.126162433	-0.227630813	-0.969027216	-0.71525694	1.416982428	1.244528941	-0.120476907	0.842182015	-0.026030671	-1.4504958	0.675596368	-1.167340244	-0.077602978	-0.256353815	-0.250815747	-0.016152016	0.420710761	3.208933386	-1.153684406	-1.429270201	-0.299700668	-0.308329273	-0.300602705	0.285118842	0.389617394	0.467997572	-0.261008025	1.738387719	-0.323364537	-0.275532681	-0.395492479	1.388188315	0.050320065	0.456716029	7.242498583	-0.632850745	-0.031080499	-1.648699885	-0.992612459	-1.04934662	-2.064884558	-1.717841189	-1.240160979	-4.115963622	0.429076874	-1.368539535	1.152142067	1.343081274	-0.047612307	-2.047041951	1.265107486	-0.146211656	-0.236269652	-0.878952551	-0.057088143	-0.968839025	-0.783155808	1.282607045	-0.441427122	0.623358395	-0.358111441	-1.689831043	0.048932425	0.944707376	-0.24077868	0.125019627	-3.29219909	-5.041035278	0.516433273	0.341409368
SKBR3	-0.433204649	-0.005829959	-1.300004087	0.442900006	0.347552385	-0.236139154	-0.565723802	-3.779455617	1.021309438	-3.13960441	-0.489696731	0.116028389	1.328559444	-0.45486672	0.58826388	0.049122031	-1.793927812	0.12056618	0.835692316	-0.719037634	0.256044491	0.103023128	0.154610692	-0.652992901	2.824491686	0.247266527	0.380930373	-0.58100144	-0.89101844	0.129260158	0.368722183	-0.731567405	-0.211614898	0.078927387	1.147380347	-1.181894545	0.648543733	0.265117864	0.462401791	0.483963744	0.727157242	0.511333456	0.028169283	0.262287166	-0.054334272	0.569062984	0.026770522	0.238909973	0.612045068	-0.335497857	0.292132405	0.171641645	0.327356516	0.100036644	-0.342179212	1.439260865	0.377174998	0.153151165	-0.295864225	-1.074098057	0.90316211	-0.5710106	-0.523094393	-0.028699177	-0.711617218	-0.621001333	4.223756963	6.60695929	-0.153539769	0.994051713
SUM102	0.776306722	0.546491441	0.963053231	-1.360856285	-0.177761069	1.016721838	0.580793963	1.160150399	0.108042795	6.256881039	-0.949211242	-0.461502173	-0.096071101	-0.526842311	0.16707161	-0.002537426	1.062585576	0.634005152	0.452029489	-1.16529868	0.299522999	0.068389215	0.027660684	0.137457742	0.362959614	0.215527419	-0.016789462	1.12295774	2.433585461	0.374843632	-0.101254321	0.874829839	0.790652911	-0.134976916	-1.457790246	-0.029840167	-1.189306214	1.78726472	0.262746479	-0.071143906	0.899998261	1.754975144	-0.372351263	0.851623222	0.080834173	-0.841918617	-2.901921393	-3.404669441	0.653610667	-0.230199644	0.622923778	1.661842384	0.077799428	0.415216708	0.585877148	1.876024087	-0.602834395	-0.97883445	-0.444918099	0.855347284	-1.030053602	-1.467765188	-0.770116292	0.028678745	-0.472653664	-1.151131494	-2.755832048	-1.807058917	0.539719802	-0.008597591
SUM1315MO2	-0.472672487	-0.24326258	0.720372809	-0.060513951	-1.113640621	-3.321603372	-0.474376034	0.273269029	-0.358106512	4.946362677	-0.040080425	-1.82670931	-0.374385152	2.163736735	-0.524133248	-0.07833425	-2.042588729	-1.110901082	0.078703614	-1.428755235	-0.196224632	-0.034256012	-1.198048619	-0.882198889	-2.606286563	0.494821184	-0.409528594	-0.249740437	0.571595985	-0.003340477	-0.469475001	-0.619990596	-0.043898446	-0.423349815	0.772965613	0.46244607	-0.924431124	-0.505998527	-0.785584829	-0.635489043	3.507110167	3.03687062	-1.436626369	0.417007274	-1.316025223	0.555100865	-1.428085078	-1.478735197	-0.743352811	1.249960327	1.007332552	2.138627794	-0.690093845	-0.37914299	-0.965655392	-1.447833713	-0.451433501	-0.146550936	-0.936922466	-0.184350339	-0.136748294	0.514714341	-0.656297291	-1.039679765	-1.812185296	1.741229373	-2.301187651	-3.920347988	-0.570941463	-0.3162978
SUM149PT	-0.615093899	-0.380743731	-1.509370318	-0.22559349	1.710501079	2.800088096	-0.698018947	1.461693082	-0.708927709	5.057353986	0.184106932	-1.761724275	-0.174292276	-0.170219651	-0.178554069	0.668079989	2.161256847	0.648627416	0.579875465	-1.263267605	0.007635079	0.357373985	0.116662439	0.685212973	-0.649438538	0.00268781	0.238540632	-0.526719508	-0.292131838	0.252304733	0.003435193	0.315656697	0.584066626	0.291577793	4.248004181	-0.670238204	-0.324724578	-1.587467371	0.70416548	0.824205061	-1.740711152	-1.964779871	-0.425788429	-4.161024182	-0.047477903	-0.279469915	-1.722481981	-1.898450127	0.666644859	0.053269654	0.347813358	0.17779887	1.006553624	-0.612721481	0.249239254	-0.291154852	-0.583555921	0.389896024	1.325870849	0.533882379	1.352800932	-1.649857705	0.412218405	-0.354076954	-2.076427352	-0.809731585	-1.673761438	-2.696020321	0.66707071	0.447557176
SUM159PT	0.331034482	0.137824758	-0.606905083	-1.572424334	0.693815658	0.641431491	-0.289817281	0.251566436	-0.084257288	4.889314208	2.425507925	-0.363891828	-0.55400585	1.871038556	-0.035061607	-0.243740773	-3.240180226	-0.274421615	0.197284196	-2.07077304	-0.293748095	-0.495642806	-0.364576689	-0.515364918	-0.699372763	0.16455331	-0.322204959	-0.642885382	0.276080366	-0.323974132	-0.284532504	0.217853661	-0.364895683	0.132971418	-0.891690393	-0.471184939	-0.97279553	7.922775835	-0.626064203	-0.88856997	2.687161032	2.420078902	-0.842308007	0.510648635	-0.954886848	-0.115103691	0.821532407	0.696083827	-0.521048882	-0.697356872	-0.36634646	0.162969762	0.10374716	-0.670854693	0.267347433	-0.521199016	-0.694815326	0.115880307	-0.396102773	0.218846696	-1.403116323	-1.345294831	-0.98819913	-0.390479874	-1.796901224	0.490012631	-2.298641975	-3.377269959	-0.491371314	-0.589944865
SUM225CWN	1.018798719	0.342863538	-0.370120834	-0.210855428	0.963362511	1.483736313	-0.62808221	2.235154096	-0.629019788	-3.507598744	-1.090894754	-0.365034492	1.006186783	-0.421325493	-0.031746794	-0.156358203	2.767746174	0.847989423	-0.093874303	-1.25637513	0.090772777	0.310090449	0.351493175	0.203551874	-0.601449917	0.41757086	0.151105031	-0.265346492	-0.004185388	0.387054402	0.331199736	-0.154219379	0.00371764	-0.534126499	2.593411552	-0.964765922	-1.807784389	-1.024007151	0.964427065	0.461593031	-0.214634629	-0.902027059	-0.842343564	1.864711416	1.71846267	-0.436067862	-0.781518625	-1.00242368	0.051631744	0.303304383	-0.233702483	-0.335983838	0.041821665	-0.207892767	-0.313025031	1.595250083	0.48510508	-0.433740373	-0.64878882	-0.877169392	-1.003986491	-0.090932388	-1.18125535	0.598669049	0.920415753	-0.306208114	6.161880113	8.892126296	-0.495758109	1.182135499
T47D	-0.130676677	-0.173992679	0.586401857	0.204694646	0.173767162	0.180168781	0.666376152	0.430123086	-0.281966697	-4.348366792	-0.822009006	-0.748368113	0.022259938	0.617895919	-0.069914962	-0.088062808	1.291598455	-1.018120898	-0.062341889	4.500790985	-0.46836828	-0.587095661	-0.251131751	-0.208978563	0.295969086	0.306127703	-0.175154962	-1.081568679	-0.865456218	-0.040135161	0.339038212	0.046202714	-0.662240641	-0.333476979	1.746037789	-0.348784775	-0.732004686	-1.328297222	0.146609793	0.185266359	-2.266886039	-0.873806202	7.291702679	1.229910328	0.22173281	-0.048205072	0.506977315	0.3912474	0.067574304	-0.899171398	-0.603852345	-0.414913364	-0.516057962	0.052572982	-0.09851289	-1.056031051	0.91124163	-0.113223104	-0.116777499	-0.815647634	-1.238378456	1.304282326	1.657944942	-0.311135931	0.86812964	-1.342741361	-1.108939647	-1.158763251	0.267400612	1.428063712
UACC812	-0.142189273	-0.004845339	1.173962908	0.360488367	-1.722329154	-0.925502036	0.685739758	-0.377789052	-1.089666661	-4.64320696	-0.280047977	-0.008590386	-0.876404981	-0.907463416	-0.663350571	-0.679908162	0.804391907	-0.236636265	-0.484748251	3.012189422	-0.1389371	0.104050101	-0.173692374	-0.767805336	1.273758825	-0.557481747	-0.148109446	0.399734494	-0.165591105	-0.260869999	-0.432619219	-0.33460819	0.468795052	-0.340707208	-1.440726201	0.269857739	0.359330312	-0.964733167	0.539769458	0.431774233	-0.831324377	-0.948878144	6.887290018	1.386276782	0.524933778	0.235799109	0.706246939	0.657002314	1.732508717	2.0543359	1.418478349	-0.908957451	-0.242983872	-0.005129615	-0.190098829	-0.312237584	0.206323694	-0.837980622	-0.678487053	-0.110375161	-0.418892249	0.374882887	0.505123869	-0.183409229	2.576345217	0.803967818	5.95503743	7.528004552	-0.044517926	1.111299178
UACC893	0.194801759	-0.155797432	0.559838761	-0.538454875	2.69429956	2.33335179	-0.185577611	0.574780628	0.321487806	-2.450371137	-1.072942778	0.445180017	1.238856713	-0.302273993	0.870757329	0.524589767	1.203291604	0.541918968	0.72355128	0.544020915	-0.901148342	-0.236546055	0.286286258	1.003532414	-0.823316619	0.339907149	0.151667349	0.120924989	0.168839337	-0.117364552	-0.114957654	-0.299685357	-0.241823104	0.607401243	-0.831288619	0.051046839	-0.138195337	-0.834457108	-0.163062281	-0.118712367	0.563344294	0.234397616	-0.03633742	0.144887883	0.549036223	-0.141739664	0.730748693	0.537790956	0.135574846	-0.603871506	-0.1522623	-0.796868028	0.534923784	-0.554180288	0.393319543	-0.506385061	1.042299532	0.584193351	-0.026590958	-0.524555654	-0.976191691	1.559054352	-1.125216511	0.117290027	0.246239547	-0.745289185	3.181264776	8.692665159	-0.893277038	0.963431092
ZR7530	-1.218339116	-1.658295135	2.65675466	0.939849739	-1.390531483	-0.629348635	0.300035589	-2.751091823	0.592588204	-3.976162193	-2.015935998	1.421676707	0.413539748	-1.931872068	0.25420085	-0.021197911	-1.786737465	3.180675238	0.226639171	2.110707907	0.452238191	-0.014262231	0.311008064	-0.681941552	-1.411841521	0.548256992	-0.065205952	2.597217517	-0.449576705	0.046512466	0.314160754	-0.797465062	0.760546169	0.154226641	-1.656969278	0.431513759	0.516048223	-1.322824202	0.488765011	0.406528105	-0.575976267	-0.605165763	-0.593435491	1.991019952	0.438618869	-0.721936053	-1.833280027	-1.741710258	-0.581582691	-0.758996896	-1.234382826	-0.81327112	-0.420932795	-0.095062579	0.15119044	2.229806609	0.303699914	-0.554120067	0.240265538	-0.894086574	-1.004341137	2.2796769	0.26221658	1.483637363	0.225046987	-1.46389193	4.538014833	8.380471522	-0.988937905	0.249132638
ZR75B	0.528268123	0.481164108	1.321023669	1.346550157	1.221892763	1.766944293	0.175387901	0.788599673	1.914861154	-4.449998528	0.403321226	2.478749796	-1.162644315	-2.292729177	0.290415239	-0.292473142	0.683317298	-1.255270063	0.203213121	4.6047044	0.337812343	0.141437697	0.10446187	-0.673051986	0.183422233	-0.059078811	0.012054857	-3.032929071	0.610232718	0.094704218	-0.152606305	0.908194007	-0.709522709	-0.531340483	-1.842741763	1.344042084	-0.058958707	-2.982320024	0.264422903	0.453100239	-0.896086222	-0.2282219	-0.311103311	1.669789314	0.417355396	0.253786513	1.191548264	0.976954245	0.314331546	0.561542193	-0.366195479	-0.355750564	-0.243002316	0.288069219	0.039654991	-0.087547695	0.544921732	0.751128003	-0.120066894	0.086760431	0.053704711	-0.485040675	0.964576484	-0.154986144	2.322204108	1.324926392	-0.083634999	-0.551155265	-0.040581765	-0.035949865
