	4EBP1	4EBP1p37	AcCoAp	Akt	Aktp308	Aktp473	AMPKp	B.Catenin	Bcl2	Caveolin 1	CCNB1	CCND1	CD31	cJUN	cleaved.caspase.7	Collagen.VI	E.cadherin	EGFR	EGFRp1068	ER	ERK2	Fortilin	GSK3	GSK3p21.9	IGFR1	JNK	JNKp183.5	MAPKp	MEK1	mTor	p110alpha	p21	p38	p38p	p53	p70S6.Kinase	p70S6Kp389	PAI1	PDK1	PDK1p241	PKCalphap657	PKCalpha	PR	PTEN	Rab25	Rb	S6p235.236	S6p240.244	src	srcp416	srcp527	stat3	stat3p705	TSC2	VEGFR2	COMT	ERp118	Stathmin	Telomerase	YB1	CCNE1	AR	GATA3	NOTCH3	IGFBP2	FGFR1	HER2	HER2p1248	EN1	EIG121
HCC1143	-1.104066724	-0.5172039	-1.589370818	1.690205427	0.058626824	0.334237332	0.64094457	0.92045472	-0.230466298	4.617249674	-0.489422251	2.491958193	-0.672223267	1.651243624	-0.430040606	0.014045345	0.683947563	0.049423179	-0.116118223	-1.762410896	0.651176298	0.065475779	-0.248728374	0.611765719	-0.149290731	-0.511046687	-0.089402049	-1.02892453	0.678386353	0.035494924	-0.292060898	-0.293088001	-0.48888733	0.493743041	6.02393543	-1.23482378	-0.372883748	-1.59875093	-1.134729094	-1.164333578	0.5116165	0.231775741	-0.883138017	1.466370457	0.6143864	-0.045544717	0.152096851	0.131338372	0.770134948	-0.954272454	0.51900158	1.815192938	0.697841147	-0.311844334	0.819387027	-0.163500653	-0.867734006	-0.076259231	0.335806113	-0.62242421	0.077270499	-1.820308324	-0.628325356	2.286772278	-0.306773001	-1.704064974	-1.735211745	-2.57254102	1.036009696	-0.234630606
HCC1395	-0.201783784	-0.509339152	-1.840401478	-0.262137468	2.884958762	2.978992765	0.03199673	0.329068493	-0.344022572	4.871261897	-1.439742679	0.672309325	-0.724796707	1.710340963	-0.461653996	0.929689988	-2.960381641	-0.182851681	-0.148950263	-1.794024286	-0.513280745	0.478235272	-0.242821618	-0.132736935	-1.207961148	0.138099262	0.218763414	0.217082284	-0.152192917	0.361241937	0.304719361	0.162296952	-0.448937954	-0.424869055	0.948059708	-1.581983195	-0.621506968	0.0303512	-0.477186942	-0.461192147	1.596666264	1.228232267	-1.056901661	-4.175113626	-1.186401785	0.119676566	0.758262106	0.943439736	0.799562705	-0.345567732	0.122819952	0.276172311	0.743790392	0.104904073	0.21910855	-1.295707114	-0.870690541	-0.278020071	-0.053260503	0.452081371	1.125809184	-0.946255787	-1.408249891	0.366482632	-1.235279874	1.806913615	-1.743638829	-3.206590654	0.042914618	0.419276653
HCC1419	-0.32823881	0.214603222	0.051176088	0.408099158	0.30567677	1.001060703	-0.499008064	0.126468645	-1.035724465	-3.411958592	-1.467660251	1.256753726	0.526823783	-2.322562775	0.403399946	-0.437535081	0.834998014	-0.728960318	-1.687005872	1.545776827	0.086886712	-0.407288911	0.806214507	0.958364314	-0.474586484	0.271669693	-0.264066587	1.355585293	-0.555077695	0.466258387	0.079064052	-0.174788944	0.492780439	-0.760354322	-2.387201163	-0.808045294	0.175160429	-0.674285596	0.715408778	0.921738543	-3.188804388	-3.055659025	-1.683152016	1.152071565	-0.540552786	-0.13826268	0.946452116	1.622426802	-0.841598801	-0.391776458	-0.226632218	-0.666579604	-0.545322825	0.883762824	-0.862641107	2.840556466	0.089839114	-1.077545606	-1.193191114	-0.857227921	-1.127566034	1.308253135	0.35288586	-2.458809697	0.090113213	1.122139716	6.834143089	5.097479653	-0.588573734	-0.953462757
HCC1428	0.256504002	0.920616969	-0.897763186	0.081790588	-1.110431501	-3.910464143	-0.216849683	-0.437721534	2.108943752	-3.846943623	-1.838127477	-0.289716301	0.366371418	-1.877651922	-0.348746152	0.249041964	1.846431189	-1.539739886	1.364490585	5.003068853	-0.671272597	-0.769857451	0.895194975	0.582231711	0.255327781	0.079263547	0.020502102	-2.01394566	-0.866322397	0.262832171	0.40267392	0.06016062	1.220992168	-0.528415589	-3.224497753	0.482121013	0.484410542	-1.52990369	0.321500247	1.019048068	-2.75937728	-2.914142149	3.81592246	1.825344208	-0.165969329	0.832811252	0.258374466	0.612463495	2.852274357	1.872669724	2.487271001	-0.142674933	-0.329164432	0.676171694	-0.555004086	-1.352257316	0.94306528	0.365560684	0.341982854	-0.244379342	0.136597877	0.38504758	1.928429684	-1.005402861	1.671620032	0.814767321	-1.276745433	-2.609551152	-0.443311929	-0.638151449
HCC1569	1.004021758	1.03583085	0.012887002	-0.562006796	1.235545773	1.80843211	0.048930991	0.357027046	-0.120992344	-4.259431863	1.948066128	-2.794881921	0.216114661	-1.280174833	-0.341280422	0.219677771	1.179766571	-0.758615405	0.518043028	-1.420083314	0.075860612	-0.155395513	0.074320777	0.309972514	1.187874873	0.296585376	-0.023000242	-1.505786416	-1.103206445	-0.26580039	0.050766692	0.113707323	-0.086685999	0.475907952	-2.060395151	-0.773977812	0.265782015	-1.650318774	0.036708765	0.197772893	-1.623697401	-1.421101424	-0.444005789	-0.358558938	-1.066289572	-0.055582739	-1.17298148	-0.973854551	1.395975309	0.126027701	0.591179785	-1.137580402	0.42979186	0.26710319	0.034512222	-0.800670934	-0.037133071	-0.551330371	0.623043997	0.816192279	3.668877941	-1.665638134	-1.384848124	-1.18885741	0.026901419	1.435737926	2.395119557	4.005578553	2.221229041	-1.711619679
HCC1599	0.177543076	-0.070104931	1.605886251	-0.543684084	-1.85996901	-3.825573035	0.348179947	-0.503784227	0.526916315	-5.130006375	0.605743893	0.549220014	-0.011441339	-0.402630443	-0.489026973	0.154370332	1.006304662	-1.027080347	-1.191920699	-0.409494331	-0.374584503	-0.981277824	-0.364840086	0.575005022	1.145773644	-0.4590005	-0.080891371	-1.890296324	-0.253786634	-1.066022371	-0.53341357	-0.306126598	-0.031872236	-0.174351604	-2.801175795	-0.2984138	-0.975592304	-1.66373233	-0.87861772	-0.369281542	-1.225872002	-1.302935913	-1.745340361	-0.195902056	2.604821895	-0.113532536	-3.689666482	-5.52846392	0.438678581	4.094076247	0.647476525	-0.678964135	0.108763687	-0.339831446	0.034570572	-1.1368685	-0.02266512	0.308456285	-0.202261934	0.121207286	2.269115567	-0.596695795	-0.527464181	0.506509004	-2.826565358	0.542607979	-0.718231446	-2.002058989	2.849090227	-2.010271888
HCC1806	-0.413644121	-0.316257086	-0.017999276	-0.789058162	0.236747998	-1.510131163	-0.301135736	1.346860216	-0.833952565	5.395023058	0.907706041	-0.059718392	0.10244213	0.092942337	-0.404637769	0.596183095	1.140585959	0.597663232	-0.360743692	-0.533772927	0.432857378	0.40100907	-0.040479245	0.698716722	-0.140373744	-0.119166086	-0.111654532	-0.644462145	-0.355148527	0.67505202	0.33997469	0.828454433	0.3724277	0.645966667	-0.879460449	0.040034436	-0.687837723	-0.505954161	-0.112891728	0.092535138	0.985700481	0.623591883	-0.70935877	1.559757964	0.603751737	0.507534305	0.569413192	0.533984565	0.216244434	2.228982653	0.048970651	0.32533658	-0.325555126	-0.313384569	-0.095420271	1.035856461	-0.015774362	-0.062354484	0.600999637	0.694103067	1.919001534	-1.77273525	-0.634496648	0.362138987	-1.47398141	-1.721868536	-2.089754284	-2.794619657	-0.599861893	0.186535918
HCC1937	-1.168292531	-0.459859344	-0.564384599	-0.707744586	1.045298536	1.215455005	-0.269305622	0.776962367	-0.135352184	3.978205938	0.208176092	1.312735357	0.984421014	1.046246239	-0.170483839	-0.034830896	2.153947951	0.010103201	0.479865466	-0.651504535	0.307953427	0.430189071	-0.007125248	1.69464347	-0.828049033	-0.281912037	0.321196958	0.737843577	0.863592983	0.361672287	0.033055849	-0.152397387	0.08693354	1.208642124	-1.860379486	-1.340712977	0.843033302	0.160877975	-0.52418977	-0.092378146	-0.067146822	-0.09028369	-0.713836598	-4.186065994	0.660038854	-0.390809466	1.538838827	1.551288146	-1.391023115	0.262903513	0.48068016	0.057766936	-0.47538633	0.151498858	-0.500789336	1.07988691	-0.024725009	0.342257004	1.406653755	0.581888576	0.057665176	-1.052674175	0.416172806	0.576247383	-0.987573871	-1.105259854	-1.002577659	-2.458652803	0.086526748	-1.351210323
HCC1954	-1.357339229	-0.656912831	-1.552450382	-1.276037015	1.509888374	2.251319072	-0.562244049	1.026874751	-0.606039093	0.275584265	1.25635809	2.266303284	-0.047542128	0.471945348	0.004407329	-0.146080527	1.708037049	0.838819051	-0.245946981	-1.073969283	1.023986385	0.141954729	-0.056239416	0.240994848	-0.194047147	0.117253708	0.086095872	0.790959877	0.912127607	0.453048704	-0.214902499	0.589875442	0.403091018	0.443047571	0.838662578	-0.850195686	0.555207887	1.056710743	-0.245036194	0.032793868	1.36413061	0.740552363	-0.03812634	0.681099074	-0.067418518	0.247954666	1.220105207	1.7750205	0.910226383	-0.812486227	0.002714829	-0.242035622	0.224613843	-0.005364955	-0.244648595	-1.960381431	-0.154664616	-0.663915239	0.855410032	0.914670433	-0.746219135	0.800490854	-0.102334444	-0.488249711	-0.402759079	-0.30024079	4.309890999	5.837605979	-0.394397561	-0.8330308
HCC202	0.559681049	0.976307227	1.392123233	0.653326001	-0.180630189	0.737530048	1.404103735	0.538492678	-0.252145881	-4.059872737	-1.368922342	-1.848758917	0.713311992	-1.452416597	0.307113303	0.207732162	2.169674099	0.216841273	-0.560296847	-0.963328093	-0.292523774	-0.236407514	0.120176931	0.503450456	-0.941819583	-0.64472265	0.055659649	-1.003791916	-0.401492509	0.318003558	0.060026347	-0.963588599	-0.217582008	0.157829602	-3.124201638	0.070815364	1.161985758	-0.071090005	0.278717532	0.631229453	-3.599679678	-3.509237098	-0.774133163	1.785757426	0.849481855	0.419878242	0.502260951	0.390156561	-1.51402421	-1.350198554	-0.431019956	-0.251916763	-0.618140709	0.248071043	-0.717440258	1.431791155	0.032447595	0.122945344	-0.31319126	0.230377996	-0.954280411	4.441648734	1.044580175	1.511983387	-1.504084942	-0.762904574	4.520185502	6.127704355	-0.653344764	1.190077701
