"","erk"
"X184A1",0.334464543124133
"X184B5",0.307214342037674
"X21MT1",0.164292715300926
"X21MT2",0.0947192989724658
"X21NT",0.18028686934402
"X21PT",0.181567776112619
"X600MPE",0.337494525301403
"AU565",0.467370550932315
"BT474",0.555360918257341
"BT483",0.419088124226645
"BT549",0.344194103742907
"CAMA1",0.55227999383218
"EFM192A",0.560516635567018
"EFM192B",0.535366465751722
"EFM192C",0.527451673052179
"HCC1143",0.190204545604315
"HCC1395",0.378468088149794
"HCC1419",0.471822336186715
"HCC1428",0.581277113367627
"HCC1569",0.188632301434532
"HCC1599",0.363190657948445
"HCC1806",0.208823091218646
"HCC1937",0.202208271564229
"HCC1954",0.257535892004384
"HCC202",0.259923801290568
"HCC2218",0.411764214067631
"HCC3153",0.276491676449908
"HCC38",0.286596490181483
"HCC70",0.287433545550794
"HS578T",0.231596336605516
"JIMT1",0.287714207139595
"LY2",0.617328760533252
"MB157",0.0273406302637438
"MCF10A",0.253464667312341
"MCF10F",0.0207657265152311
"MCF12A",0.222102459020439
"MCF7",0.591584690131628
"MDAMB134VI",0.390278177101487
"MDAMB175",0.235685580797599
"MDAMB231",0.237097595173763
"MDAMB361",0.403879606244418
"MX1",0.085750889131778
"SKBR3",0.4816243073212
"SUM1315",0.353969523581347
"SUM149PT",0.233677965352782
"SUM225CWN",0.327336744383324
"SUM229PE",0.329673232606568
"SUM52PE",0.465752408569827
"T47D",0.577672375819724
"T47D.Kbluc",0.524323971600361
"UACC812",0.487390229799625
"UACC893",0.508070172809606
"ZR751",0.460054090756654
"ZR7530",0.493962318531561
"ZR75B",0.480899397442666
