"","erk"
"X184A1",0.320892136477425
"X184B5",0.329244838329071
"X21MT1",0.224101078146813
"X21MT2",0.155686775011285
"X21NT",0.23049168584765
"X21PT",0.237312506411016
"X600MPE",0.274591885997044
"AU565",0.398340158851585
"BT474",0.520292974812055
"BT483",0.361946381821492
"BT549",0.403509879768583
"CAMA1",0.50764982232322
"EFM192A",0.4969980660124
"EFM192B",0.4817578689113
"EFM192C",0.432958993735553
"HCC1143",0.230890914091426
"HCC1395",0.401090361834584
"HCC1419",0.467055712480052
"HCC1428",0.559463931525447
"HCC1569",0.2677936599551
"HCC1599",0.344630171614032
"HCC1806",0.259313263210751
"HCC1937",0.211617018531871
"HCC1954",0.303858203129215
"HCC202",0.214326546657204
"HCC2218",0.366863627741741
"HCC3153",0.288588255409175
"HCC38",0.351865186357576
"HCC70",0.293575169564645
"HS578T",0.327645235023119
"JIMT1",0.362426022856537
"LY2",0.514571526322698
"MB157",0.056499513434922
"MCF10A",0.316689601552052
"MCF10F",0.0352233981138203
"MCF12A",0.280384118070806
"MCF7",0.508670233300666
"MDAMB134VI",0.321840534513601
"MDAMB175",0.229848103459539
"MDAMB231",0.313048440266471
"MDAMB361",0.368605010485385
"MX1",0.135039106148059
"SKBR3",0.434844885152729
"SUM1315",0.392492486092759
"SUM149PT",0.26602356896642
"SUM225CWN",0.319986239472564
"SUM229PE",0.343377033218298
"SUM52PE",0.458056857609896
"T47D",0.530333558537295
"T47D.Kbluc",0.466525553619532
"UACC812",0.462098211712185
"UACC893",0.454442207838245
"ZR751",0.386403808871464
"ZR7530",0.464451610472693
"ZR75B",0.440154682585773
