	ERK100/adap_adap_multi/pathway_activity_testset.csv	ERK100/adap_multi/pathway_activity_testset.csv	ERK100/nonadap_multi/pathway_activity_testset.csv	ERK150/adap_adap_multi/pathway_activity_testset.csv	ERK150/adap_multi/pathway_activity_testset.csv	ERK150/nonadap_multi/pathway_activity_testset.csv	ERK200/adap_adap_multi/pathway_activity_testset.csv	ERK200/adap_multi/pathway_activity_testset.csv	ERK200/nonadap_multi/pathway_activity_testset.csv	ERK25/adap_adap_multi/pathway_activity_testset.csv	ERK25/adap_multi/pathway_activity_testset.csv	ERK25/nonadap_multi/pathway_activity_testset.csv	ERK250/adap_adap_multi/pathway_activity_testset.csv	ERK250/adap_multi/pathway_activity_testset.csv	ERK250/nonadap_multi/pathway_activity_testset.csv	ERK50/adap_adap_multi/pathway_activity_testset.csv	ERK50/adap_multi/pathway_activity_testset.csv	ERK50/nonadap_multi/pathway_activity_testset.csv	ERK75/adap_adap_multi/pathway_activity_testset.csv	ERK75/adap_multi/pathway_activity_testset.csv	ERK75/nonadap_multi/pathway_activity_testset.csv
ERK100/adap_adap_multi/pathway_activity_testset.csv	1	0.804473304473304	0.802525252525253	-0.994588744588744	0.684632034632035	0.683189033189033	0.983477633477633	0.742568542568542	0.740692640692641	0.958008658008658	0.824025974025974	0.819191919191919	0.979148629148629	0.642135642135642	0.646681096681097	0.961616161616161	0.8497113997114	0.850649350649351	0.993867243867244	0.811038961038961	0.806637806637807
ERK100/adap_multi/pathway_activity_testset.csv	0.804473304473304	1	0.9997113997114	-0.811904761904762	0.952236652236652	0.951515151515151	0.813636363636364	0.940836940836941	0.940836940836941	0.797546897546897	0.944155844155844	0.936075036075036	0.798989898989899	0.894155844155844	0.898701298701299	0.843362193362193	0.956421356421356	0.955122655122655	0.794588744588745	0.991558441558442	0.991558441558442
ERK100/nonadap_multi/pathway_activity_testset.csv	0.802525252525253	0.9997113997114	1	-0.80988455988456	0.952525252525253	0.951875901875902	0.811688311688312	0.93968253968254	0.93968253968254	0.794877344877345	0.944444444444444	0.937012987012987	0.796825396825397	0.895021645021645	0.899567099567099	0.840981240981241	0.956709956709957	0.955122655122655	0.792929292929293	0.991630591630592	0.991702741702742
ERK150/adap_adap_multi/pathway_activity_testset.csv	-0.994588744588744	-0.811904761904762	-0.80988455988456	1	-0.7002886002886	-0.698773448773449	-0.98968253968254	-0.756637806637807	-0.754689754689755	-0.953318903318903	-0.835714285714286	-0.82987012987013	-0.987229437229437	-0.661904761904762	-0.666522366522367	-0.961832611832612	-0.861688311688312	-0.862193362193362	-0.988816738816739	-0.81969696969697	-0.814790764790765
ERK150/adap_multi/pathway_activity_testset.csv	0.684632034632035	0.952236652236652	0.952525252525253	-0.7002886002886	1	0.99992784992785	0.698196248196248	0.961688311688312	0.962409812409812	0.686363636363636	0.897186147186147	0.887373737373737	0.685064935064935	0.952308802308802	0.955266955266955	0.747041847041847	0.87965367965368	0.873809523809524	0.675757575757576	0.938672438672439	0.939321789321789
ERK150/nonadap_multi/pathway_activity_testset.csv	0.683189033189033	0.951515151515151	0.951875901875902	-0.698773448773449	0.99992784992785	1	0.696608946608947	0.960966810966811	0.961688311688312	0.684199134199134	0.896392496392496	0.886796536796537	0.683477633477633	0.952741702741703	0.955699855699856	0.745310245310245	0.878787878787879	0.873015873015873	0.674170274170274	0.937950937950938	0.938744588744589
ERK200/adap_adap_multi/pathway_activity_testset.csv	0.983477633477633	0.813636363636364	0.811688311688312	-0.98968253968254	0.698196248196248	0.696608946608947	1	0.763059163059163	0.760822510822511	0.948340548340548	0.835786435786436	0.831601731601732	0.995454545454545	0.664357864357864	0.668181818181818	0.951875901875902	0.859163059163059	0.86060606060606	0.976334776334776	0.814574314574315	0.808585858585859
ERK200/adap_multi/pathway_activity_testset.csv	0.742568542568542	0.940836940836941	0.93968253968254	-0.756637806637807	0.961688311688312	0.960966810966811	0.763059163059163	1	0.9998556998557	0.746176046176046	0.908080808080808	0.891774891774892	0.74978354978355	0.956565656565656	0.957720057720058	0.803968253968254	0.90007215007215	0.891414141414141	0.739321789321789	0.937157287157287	0.934632034632035
ERK200/nonadap_multi/pathway_activity_testset.csv	0.740692640692641	0.940836940836941	0.93968253968254	-0.754689754689755	0.962409812409812	0.961688311688312	0.760822510822511	0.9998556998557	1	0.744588744588745	0.907359307359307	0.890764790764791	0.747619047619048	0.957720057720058	0.958874458874459	0.802453102453102	0.899134199134199	0.89033189033189	0.737445887445887	0.937157287157287	0.934343434343434
ERK25/adap_adap_multi/pathway_activity_testset.csv	0.958008658008658	0.797546897546897	0.794877344877345	-0.953318903318903	0.686363636363636	0.684199134199134	0.948340548340548	0.746176046176046	0.744588744588745	1	0.83982683982684	0.831818181818182	0.942929292929293	0.623088023088023	0.627994227994228	0.957575757575758	0.839466089466089	0.839105339105339	0.964862914862915	0.803751803751804	0.796681096681097
ERK25/adap_multi/pathway_activity_testset.csv	0.824025974025974	0.944155844155844	0.944444444444444	-0.835714285714286	0.897186147186147	0.896392496392496	0.835786435786436	0.908080808080808	0.907359307359307	0.83982683982684	1	0.994588744588744	0.828499278499278	0.853968253968254	0.859163059163059	0.871212121212121	0.957503607503607	0.956854256854257	0.822799422799423	0.953391053391053	0.94978354978355
