	A_no_bat_NonAdap	A_no_bat_Adap	A_combat_cov_NonAdap	A_combat_cov_adap	A_combat_wo_cov_NonAdap	A_combat_wo_cov_adap	A_combat_wo_cov_NonAdap_nofilter	A_combat_wo_cov_adap_no_filter	B_dwd_bild_f	B_dwd_bild	B_combat_wo_cov_f	B_combat_cov_f	A_dwd_bild_NonAdaptive_f	A_dwd_bild_Adaptive_f
TCGA-JL-A3YX-01A-11R-A22U-07	0.444700959	0.317292592	0.101561144	0.482356568	0.392384988	0.399892049	0.394130639	0.399479806	0.1297487	0.1278832	0.6210869	0.0935334	0.104013255	0.494311689
TCGA-LD-A66U-01A-11R-A31O-07	0.483985611	0.359177453	0.082683577	0.446669333	0.437916623	0.402570595	0.420084356	0.447025976	0.1228645	0.1213797	0.7095478	0.1496405	0.081217435	0.421945969
TCGA-LD-A74U-01A-13R-A33J-07	0.497131085	0.455753573	0.076095328	0.475690391	0.338252184	0.332107915	0.332306	0.351511081	0.0880594	0.0883427	0.5776047	0.1285368	0.057968621	0.403844618
TCGA-LD-A7W5-01A-22R-A352-07	0.400358719	0.357791878	0.136312058	0.526957403	0.250635262	0.243956163	0.251111559	0.257165938	0.0965173	0.0967689	0.5230269	0.093653	0.04659699	0.344333998
TCGA-LD-A7W6-01A-81R-A352-07	0.382946866	0.269345718	0.07495261	0.437472857	0.272860442	0.259027781	0.255682857	0.27250561	0.074012	0.0744583	0.3382693	0.0926643	0.030662231	0.289104286
TCGA-LL-A440-01A-11R-A24H-07	0.470898587	0.445818973	0.043461397	0.45288778	0.330867578	0.329457673	0.290271869	0.333332697	0.0464361	0.046595	0.3681828	0.1154559	0.049177497	0.368784131
TCGA-LL-A441-01A-11R-A24H-07	0.153324373	0.14075088	0.041221529	0.415774569	0.224979586	0.215538261	0.210348227	0.20935874	0.016412	0.0164437	0.2065283	0.0517354	0.0305233	0.18921281
TCGA-LL-A442-01A-11R-A24H-07	0.636943816	0.542138563	0.134876114	0.456584291	0.212270068	0.182935913	0.2610845	0.271893317	0.217527	0.2150569	0.4854475	0.1300337	0.102949424	0.53305531
TCGA-LL-A50Y-01A-11R-A266-07	0.542086223	0.386790622	0.096866097	0.434076278	0.252644806	0.226581959	0.273608781	0.277658311	0.1471415	0.1449824	0.6309631	0.2165354	0.11742253	0.492982784
TCGA-LL-A5YL-01A-12R-A29R-07	0.562671889	0.44691816	0.115096384	0.466297586	0.477304116	0.389789505	0.431187062	0.438731364	0.173661	0.1711942	0.6695973	0.2502672	0.094529909	0.478632107
TCGA-LL-A5YM-01A-11R-A28M-07	0.369492264	0.313294189	0.099963262	0.47347568	0.353287359	0.302690417	0.360649914	0.366245048	0.2330148	0.2318155	0.7493511	0.3655931	0.07550133	0.45565789
TCGA-LL-A5YN-01A-11R-A28M-07	0.333326066	0.18891636	0.102743624	0.463885088	0.225377254	0.23026246	0.233188322	0.216226613	0.0637091	0.0628809	0.4236035	0.1356575	0.042953282	0.266043493
TCGA-LL-A5YO-01A-21R-A28M-07	0.261551728	0.244214833	0.057768743	0.395039283	0.243579293	0.225609041	0.250038888	0.209798505	0.0677148	0.0669319	0.6409314	0.0916688	0.03050683	0.224968653
TCGA-LL-A5YP-01A-21R-A28M-07	0.441492784	0.474425292	0.099206052	0.487760827	0.498350437	0.4716948	0.438593428	0.453921749	0.0920312	0.0905958	0.7732415	0.2326239	0.082172129	0.485399109
TCGA-LL-A6FP-01A-11R-A31O-07	0.513622015	0.392450383	0.103156269	0.448867867	0.203612242	0.117069177	0.241211131	0.243714458	0.2092603	0.2072212	0.6574065	0.1216964	0.177736072	0.560108747
TCGA-LL-A6FQ-01A-11R-A31O-07	0.693589433	0.564540198	0.136693408	0.49253016	0.381411709	0.391664327	0.397389252	0.400438535	0.6321579	0.6305425	0.8588481	0.2917823	0.184526575	0.604853572
TCGA-LL-A6FR-01A-12R-A31O-07	0.495959079	0.373947607	0.096099176	0.438735265	0.598311921	0.572016626	0.576385698	0.557209975	0.2978167	0.29543	0.8231365	0.3916312	0.063730949	0.471763242
TCGA-LL-A73Y-01A-11R-A33J-07	0.572448794	0.505120822	0.053651858	0.455406836	0.42801557	0.419092592	0.389404048	0.402082625	0.1122737	0.1125658	0.5964474	0.1595946	0.075119053	0.430357687
TCGA-LL-A73Z-01A-11R-A32P-07	0.225230855	0.19962441	0.065972811	0.430104785	0.380909139	0.360371444	0.352820973	0.349117548	0.0973823	0.0979087	0.4756604	0.1089325	0.02623285	0.256421518
TCGA-LL-A740-01A-21R-A32P-07	0.679914627	0.565286124	0.142986349	0.460680583	0.434291599	0.393952196	0.424567392	0.439737758	0.3624035	0.3592336	0.7785458	0.1987036	0.136938469	0.518285633
TCGA-LL-A7SZ-01A-32R-A352-07	0.383291385	0.243312561	0.12319214	0.462157321	0.416294393	0.406482293	0.429341134	0.413815017	0.1735536	0.17159	0.7589138	0.0704099	0.043741114	0.312615618
TCGA-LL-A7T0-01A-31R-A352-07	0.319363776	0.237653726	0.146081339	0.524876277	0.29808681	0.290350978	0.312991425	0.310247951	0.2295782	0.2272477	0.5691139	0.1225214	0.084441731	0.445951027
TCGA-LL-A8F5-01A-11R-A36F-07	0.34771669	0.232625349	0.051831462	0.373589031	0.299094569	0.342960796	0.321772118	0.27672719	0.071895	0.070797	0.6239621	0.0521004	0.038883421	0.261724933
TCGA-LQ-A4E4-01A-11R-A266-07	0.463511462	0.366939289	0.133275297	0.43163614	0.288330079	0.269709938	0.268470962	0.28853764	0.0860323	0.0846458	0.4378693	0.0885958	0.062124593	0.504867819
TCGA-MS-A51U-01A-31R-A266-07	0.689626041	0.606636125	0.0709377	0.396819354	0.36818321	0.350596835	0.358365585	0.380104305	0.193025	0.1928179	0.5422121	0.197036	0.070324043	0.483930483
TCGA-OK-A5Q2-01A-11R-A27Q-07	0.389134375	0.336778942	0.07101711	0.424866997	0.43150182	0.385867481	0.379593774	0.411711501	0.0985433	0.0982584	0.5635728	0.1367023	0.045565884	0.357928206
TCGA-OL-A5D6-01A-21R-A27Q-07	0.784371227	0.702619833	0.115065519	0.468609066	0.408772468	0.341839174	0.379504272	0.408577591	0.5038267	0.50107	0.7514995	0.5122824	0.158970511	0.553955734
TCGA-OL-A5D7-01A-11R-A27Q-07	0.238695761	0.141350383	0.052897636	0.470811737	0.13801075	0.14100584	0.171785238	0.130411753	0.0536397	0.0527026	0.5209997	0.0816538	0.042812282	0.299772866
TCGA-OL-A5D8-01A-11R-A27Q-07	0.517398609	0.276577284	0.095394663	0.401128291	0.278465365	0.270413803	0.280517705	0.268189485	0.2050072	0.2022825	0.7292979	0.1468426	0.027463118	0.246747956
TCGA-OL-A5DA-01A-11R-A27Q-07	0.478647714	0.319051438	0.125894403	0.451020621	0.299800809	0.247904722	0.314469297	0.326541328	0.0809298	0.0796744	0.3455643	0.1094011	0.088013959	0.456692933
TCGA-OL-A5RU-01A-11R-A28M-07	0.684078185	0.594512471	0.08484964	0.40890838	0.365876256	0.318433984	0.320588916	0.365933399	0.1738889	0.1733223	0.6094907	0.2070091	0.090797291	0.470499263
TCGA-OL-A5RV-01A-12R-A28M-07	0.724566525	0.623065635	0.051723978	0.437394036	0.473886403	0.426758778	0.447519117	0.486450713	0.1923062	0.1911931	0.5662706	0.23675	0.098277516	0.518197548
TCGA-OL-A5RW-01A-11R-A28M-07	0.055174086	0.05721306	0.015927813	0.140226258	0.357034354	0.348969912	0.331452015	0.311019764	0.0159964	0.0159924	0.6940185	0.0643921	0.010130199	0.023656819
TCGA-OL-A5RX-01A-11R-A28M-07	0.708680636	0.634402027	0.088520039	0.477247212	0.450135884	0.400662162	0.390170981	0.427654349	0.257041	0.2566234	0.5654656	0.2225766	0.087242655	0.486347821
TCGA-OL-A5RY-01A-21R-A28M-07	0.72725429	0.739149873	0.156344534	0.512702849	0.51223392	0.507882156	0.474245558	0.493537386	0.7316287	0.7293128	0.7945917	0.7620786	0.175737001	0.550066378
TCGA-OL-A5RZ-01A-11R-A28M-07	0.739606039	0.714605222	0.100356413	0.424755842	0.310663883	0.292696188	0.345904037	0.333951544	0.864829	0.8650335	0.7680259	0.7723594	0.169690446	0.586966638
TCGA-OL-A5S0-01A-11R-A28M-07	0.277118579	0.237089429	0.085474867	0.470294118	0.458263901	0.435065026	0.396834034	0.404924822	0.1831394	0.1833924	0.6918232	0.2250464	0.040760408	0.312249546
TCGA-OL-A66H-01A-11R-A29R-07	0.471831774	0.327245292	0.103091289	0.431482856	0.227140618	0.245731052	0.247893341	0.250962669	0.0874078	0.085998	0.4817576	0.0798945	0.04171524	0.319333053
