	A_no_bat_NonAdap	A_no_bat_Adap	A_combat_cov_NonAdap	A_combat_cov_adap	A_combat_wo_cov_NonAdap	A_combat_wo_cov_adap	A_combat_wo_cov_NonAdap_nofilter	A_combat_wo_cov_adap_no_filter	B_dwd_bild_f	B_dwd_bild	B_combat_wo_cov_f	B_combat_cov_f	A_dwd_bild_NonAdaptive_f	A_dwd_bild_Adaptive_f
TCGA-A1-A0SB-01A-11R-A144-07	0.716518828	0.70287393	0.044255693	0.50028304	0.344016891	0.339779485	0.336617102	0.359156281	0.2355043	0.23505	0.38257	0.266555	0.13330075	0.575435161
TCGA-A1-A0SD-01A-11R-A115-07	0.502070476	0.390772276	0.080419131	0.469316446	0.413939492	0.402149719	0.371738008	0.397438722	0.2123845	0.2122916	0.5781254	0.1654989	0.0523904	0.401475354
TCGA-A1-A0SE-01A-11R-A084-07	0.603489446	0.478517441	0.075887081	0.43987563	0.324443561	0.304246736	0.326370983	0.345561876	0.1079593	0.108293	0.3977529	0.134532	0.081413325	0.471487472
TCGA-A1-A0SF-01A-11R-A144-07	0.612678259	0.51698551	0.093886982	0.489047989	0.346638142	0.313218984	0.344853894	0.36400599	0.2497194	0.2492686	0.5300041	0.209367	0.111756068	0.512876032
TCGA-A1-A0SG-01A-11R-A144-07	0.522161687	0.451935832	0.145080354	0.483822865	0.361917176	0.344607162	0.372093673	0.392754862	0.2479867	0.2452678	0.6451402	0.1830163	0.116445773	0.517722931
TCGA-A1-A0SH-01A-11R-A084-07	0.770937274	0.692980275	0.122354144	0.487836179	0.411998415	0.412368729	0.402227648	0.428124176	0.4082902	0.40543	0.712137	0.4843445	0.210381613	0.619811955
TCGA-A1-A0SI-01A-11R-A144-07	0.482413462	0.469443277	0.116055702	0.478846257	0.304893891	0.306928426	0.249212111	0.259374035	0.05036	0.0495635	0.4854346	0.1018499	0.052586261	0.362743369
TCGA-A1-A0SJ-01A-11R-A084-07	0.693078289	0.596003943	0.16292168	0.540240774	0.415139322	0.395523048	0.427238564	0.446165908	0.3382282	0.337276	0.6598486	0.2344731	0.141041956	0.625772428
TCGA-A1-A0SK-01A-12R-A084-07	0.439198112	0.349651533	0.023831464	0.197621501	0.163131456	0.169900773	0.230458703	0.199528344	0.1039059	0.1026136	0.7197105	0.0412619	0.02860312	0.192438877
TCGA-A1-A0SM-01A-11R-A084-07	0.780956916	0.819626452	0.166905561	0.545847921	0.542947024	0.495948868	0.500193185	0.529352923	0.7442203	0.7438481	0.8097899	0.7346473	0.196920744	0.652397939
TCGA-A1-A0SN-01A-11R-A144-07	0.767403759	0.708235957	0.177636301	0.530653313	0.353323459	0.34692182	0.334618659	0.341721491	0.6524529	0.6508772	0.7419947	0.7056869	0.145912734	0.564014914
TCGA-A1-A0SO-01A-22R-A084-07	0.785477576	0.680604045	0.076040459	0.419572298	0.154509625	0.163032989	0.200910893	0.168321025	0.2640002	0.2613609	0.4250528	0.2187796	0.249003232	0.674223374
TCGA-A1-A0SP-01A-11R-A084-07	0.43011054	0.438972028	0.041216077	0.421712601	0.26598755	0.260174051	0.28453069	0.278834668	0.0478391	0.0470566	0.606724	0.0910895	0.033033619	0.312594375
TCGA-A1-A0SQ-01A-21R-A144-07	0.733477057	0.56624221	0.114690015	0.438030091	0.360064838	0.331240321	0.376053532	0.372351368	0.3782787	0.3763254	0.7948867	0.1662812	0.150954637	0.543028973
TCGA-A2-A04N-01A-11R-A115-07	0.439258218	0.339222523	0.131969837	0.461376274	0.341480103	0.32757464	0.333365077	0.360295823	0.1048085	0.1031709	0.6120188	0.0907444	0.064318655	0.399652535
TCGA-A2-A04P-01A-31R-A034-07	0.217088123	0.218336529	0.09416304	0.470804457	0.322303114	0.296646134	0.25543228	0.299873086	0.1338201	0.1342651	0.6679089	0.1482371	0.049247516	0.341728091
TCGA-A2-A04Q-01A-21R-A034-07	0.24580482	0.198749929	0.093517777	0.451759399	0.179718318	0.192002461	0.155718795	0.154952512	0.0866322	0.0871331	0.2502651	0.0684485	0.030890331	0.206783447
TCGA-A2-A04R-01A-41R-A109-07	0.67748815	0.514736632	0.154816627	0.494422896	0.325264297	0.307125442	0.315775938	0.344082857	0.1757562	0.1732619	0.6086244	0.1465627	0.168424241	0.624885445
TCGA-A2-A04T-01A-21R-A034-07	0.463553305	0.420568019	0.084851629	0.462678678	0.257082738	0.26127481	0.296329591	0.268112048	0.0734548	0.0725986	0.4799121	0.1309027	0.078404873	0.439262969
TCGA-A2-A04U-01A-11R-A115-07	0.726542483	0.676355083	0.092918803	0.433781545	0.350402347	0.344537253	0.352065372	0.332098115	0.1831275	0.1806133	0.7306698	0.1853757	0.100250377	0.552064875
TCGA-A2-A04V-01A-21R-A034-07	0.463164846	0.31961643	0.162452486	0.497503166	0.272995583	0.266506533	0.279111265	0.292755917	0.1240158	0.1224292	0.6420651	0.1203343	0.100592599	0.484335003
TCGA-A2-A04W-01A-31R-A115-07	0.792011612	0.865695315	0.171636757	0.488821415	0.545765528	0.521695064	0.510677141	0.527675818	0.8451235	0.8453304	0.8924623	0.7634316	0.218127268	0.636334014
TCGA-A2-A04X-01A-21R-A034-07	0.4661605	0.398235259	0.080070684	0.421427864	0.253476285	0.257701089	0.291446255	0.286031462	0.3694609	0.3672356	0.6855415	0.4308681	0.057967554	0.358588301
TCGA-A2-A04Y-01A-21R-A034-07	0.426191057	0.37293738	0.085535549	0.406908362	0.26281777	0.28443186	0.26213972	0.273797192	0.1240387	0.1221483	0.5934648	0.1464828	0.040693367	0.339149102
TCGA-A2-A0CK-01A-11R-A22K-07	0.279391427	0.245526806	0.080258029	0.451995703	0.300636578	0.288093836	0.277170976	0.301411734	0.0448154	0.0450236	0.4214944	0.1085824	0.052256338	0.350387487
TCGA-A2-A0CL-01A-11R-A115-07	0.380038934	0.292916343	0.113274837	0.478809618	0.175666527	0.196936999	0.159922637	0.164543598	0.0645843	0.0648647	0.4535212	0.0845166	0.034875747	0.285633726
TCGA-A2-A0CM-01A-31R-A034-07	0.061852363	0.073019445	0.026290922	0.350189032	0.204826146	0.194026326	0.20997105	0.169850764	0.0514149	0.0508172	0.4137589	0.0464155	0.015234997	0.064089845
TCGA-A2-A0CO-01A-13R-A22K-07	0.331456941	0.268053371	0.067345355	0.460370601	0.33723654	0.316581465	0.27739713	0.314738745	0.1372337	0.1376902	0.4731313	0.1556396	0.026098752	0.248319088
TCGA-A2-A0CP-01A-11R-A034-07	0.266915501	0.250669111	0.06334885	0.429777005	0.41336367	0.380930641	0.390497355	0.41909973	0.0407485	0.0401483	0.5391035	0.0952751	0.051573382	0.348098459
TCGA-A2-A0CQ-01A-21R-A034-07	0.323829687	0.260664955	0.082914647	0.430372141	0.252295804	0.244038505	0.260750578	0.264814045	0.0566588	0.0556811	0.5295336	0.0707727	0.044138228	0.331168909
TCGA-A2-A0CR-01A-11R-A22K-07	0.372526569	0.302057833	0.106760706	0.435850747	0.35325759	0.325526169	0.326059783	0.344661159	0.059228	0.0596586	0.467509	0.1314752	0.048917008	0.321311663
TCGA-A2-A0CS-01A-11R-A115-07	0.624737921	0.488286537	0.155029024	0.491991829	0.252911454	0.266627305	0.253136836	0.254356665	0.0905437	0.0904495	0.4985713	0.1440076	0.11188224	0.475742183
TCGA-A2-A0CT-01A-31R-A056-07	0.631499479	0.479484402	0.1324836	0.47320093	0.277553788	0.251021343	0.301569815	0.295776601	0.1938452	0.1920982	0.5383646	0.1815477	0.097385261	0.451693744
TCGA-A2-A0CU-01A-12R-A034-07	0.620469745	0.56437599	0.167704924	0.494791352	0.416852487	0.409053338	0.4004222	0.423766095	0.2505482	0.2478493	0.5904264	0.2400893	0.150953655	0.562537723
TCGA-A2-A0CV-01A-31R-A115-07	0.673953034	0.631502422	0.11928904	0.45113841	0.394974504	0.375097743	0.348184108	0.389468461	0.085019	0.0849292	0.5726425	0.1253044	0.080665776	0.44946062
TCGA-A2-A0CW-01A-21R-A115-07	0.300825542	0.232293017	0.071122639	0.416980577	0.222678393	0.206237151	0.265850063	0.228920156	0.1209028	0.1190568	0.5559253	0.1051258	0.029729804	0.213894078
TCGA-A2-A0CX-01A-21R-A00Z-07	0.738911824	0.635367119	0.136953444	0.479875212	0.394599068	0.400566322	0.385370004	0.386922039	0.7628184	0.7609022	0.7946295	0.6469549	0.118163035	0.530740739
TCGA-A2-A0CY-01A-12R-A034-07	0.692180394	0.623911009	0.028340503	0.263865087	0.401382691	0.345827914	0.404603659	0.38612217	0.3472936	0.3450242	0.8164036	0.2933447	0.095459214	0.536723791
TCGA-A2-A0CZ-01A-11R-A034-07	0.560832312	0.487654563	0.087641757	0.443924458	0.363342973	0.356169164	0.33194466	0.362638202	0.1875003	0.1876829	0.627741	0.1470014	0.066427044	0.463206055
TCGA-A2-A0D0-01A-11R-A00Z-07	0.477572352	0.470203403	0.129893586	0.458811436	0.294340967	0.302293608	0.305032258	0.282165679	0.2138882	0.2140424	0.6949839	0.1891165	0.062227737	0.454961267
TCGA-A2-A0D1-01A-11R-A034-07	0.697643886	0.685437795	0.148728258	0.482980761	0.284557435	0.268160518	0.339867018	0.32076676	0.752234	0.7520827	0.7855861	0.5744139	0.143408391	0.611517373
TCGA-A2-A0D2-01A-21R-A034-07	0.462054689	0.515048442	0.133059618	0.451760753	0.409015656	0.412730652	0.407130354	0.396329614	0.1066825	0.1069615	0.6009583	0.1299359	0.050261011	0.471049116
TCGA-A2-A0D3-01A-11R-A115-07	0.564081933	0.456933696	0.132579661	0.459502272	0.256544376	0.225324848	0.263804369	0.289675619	0.1005945	0.0990437	0.4744663	0.1089263	0.0852476	0.392925971
TCGA-A2-A0D4-01A-11R-A00Z-07	0.63293275	0.457401832	0.174737243	0.504588578	0.290650032	0.305945171	0.312216024	0.341800846	0.2135975	0.2110346	0.6813848	0.1323134	0.170390505	0.611568736
TCGA-A2-A0EM-01A-11R-A034-07	0.602274821	0.45985614	0.162018355	0.513904078	0.314899604	0.278169326	0.282304552	0.304134911	0.1332381	0.1336095	0.3917205	0.1330087	0.102821161	0.511189491
TCGA-A2-A0EN-01A-13R-A084-07	0.114722567	0.099048665	0.060695243	0.441634619	0.210736963	0.215832764	0.188427772	0.20771721	0.013655	0.0133424	0.1700461	0.0663226	0.024402477	0.134297201
TCGA-A2-A0EO-01A-11R-A034-07	0.709444067	0.634891851	0.095078941	0.471012745	0.397299048	0.384452002	0.380083367	0.40957967	0.2846773	0.28424	0.5728231	0.2791841	0.158201171	0.556875979
TCGA-A2-A0EP-01A-52R-A22U-07	0.151973277	0.15704568	0.044728054	0.44217574	0.224820161	0.230204095	0.179062108	0.207502344	0.0092406	0.0091676	0.3451106	0.0535743	0.024285743	0.164279215
TCGA-A2-A0EQ-01A-11R-A034-07	0.522031372	0.382273928	0.103077236	0.458715095	0.114686189	0.155814696	0.144565768	0.127827428	0.1398579	0.1382874	0.6089921	0.108461	0.070356223	0.403624202
TCGA-A2-A0ER-01A-21R-A034-07	0.556664233	0.420883679	0.181784692	0.509575602	0.236672936	0.25049603	0.273823749	0.297044579	0.1321885	0.1301811	0.4858294	0.1080633	0.120641582	0.698683049
TCGA-A2-A0ES-01A-11R-A115-07	0.59379301	0.546553606	0.04388173	0.410559751	0.386027217	0.361709842	0.34082041	0.394514947	0.1974749	0.1976596	0.3783327	0.1673751	0.046301567	0.411653313
TCGA-A2-A0ET-01A-31R-A034-07	0.525266528	0.353397012	0.135652058	0.488979225	0.1058552	0.10230822	0.12089485	0.120041492	0.0879588	0.0865643	0.1769191	0.0802391	0.07842622	0.445526208
TCGA-A2-A0EU-01A-22R-A056-07	0.539423414	0.409456718	0.094368377	0.436465663	0.2745286	0.278168747	0.302528895	0.31311055	0.1134061	0.1117271	0.5834413	0.1065951	0.041128531	0.291705495
TCGA-A2-A0EV-01A-11R-A034-07	0.434129929	0.468229305	0.133081653	0.471333068	0.289775674	0.303180178	0.295634796	0.29865253	0.0505982	0.0502068	0.2597551	0.1239429	0.062515707	0.403907841
TCGA-A2-A0EW-01A-21R-A115-07	0.512875032	0.48854998	0.053505796	0.397810878	0.343888243	0.323934387	0.289807242	0.351134587	0.2243212	0.2244417	0.3761322	0.1580391	0.059753588	0.397916151
TCGA-A2-A0EX-01A-21R-A034-07	0.796395345	0.697531538	0.152923877	0.480570697	0.35024159	0.337135665	0.35357988	0.37169494	0.3441125	0.3419438	0.7093176	0.2573259	0.217917503	0.611077599
TCGA-A2-A0EY-01A-11R-A034-07	0.522530533	0.446937922	0.101852402	0.470009165	0.181953843	0.162247962	0.179060055	0.201412248	0.4107884	0.4092317	0.3994984	0.5636838	0.092151422	0.430458567
TCGA-A2-A0ST-01A-12R-A084-07	0.142543419	0.121565389	0.058715307	0.496843961	0.132699833	0.137160155	0.120346189	0.103900013	0.0330209	0.0333846	0.1762372	0.0730359	0.018011081	0.114178931
TCGA-A2-A0SU-01A-11R-A084-07	0.430388526	0.401430026	0.122898611	0.473213891	0.287412715	0.271994103	0.273455812	0.304100386	0.0795544	0.0791872	0.4666934	0.1095981	0.100256906	0.471006421
TCGA-A2-A0SV-01A-11R-A084-07	0.280404511	0.249721683	0.110963207	0.45361508	0.334211985	0.365620761	0.323287281	0.332190692	0.0637054	0.0630482	0.6916772	0.1149099	0.030941914	0.253640895
TCGA-A2-A0SW-01A-11R-A084-07	0.330217329	0.254798007	0.109029564	0.46048737	0.24660011	0.224418752	0.236962825	0.248505957	0.0432678	0.0424705	0.4497228	0.0458876	0.041023442	0.31361528
TCGA-A2-A0SX-01A-12R-A084-07	0.263509346	0.346536877	0.033247995	0.342700414	0.261314536	0.247299964	0.233984924	0.232296011	0.035406	0.0354235	0.3878704	0.0872677	0.029346194	0.268193734
TCGA-A2-A0SY-01A-31R-A084-07	0.815812446	0.718558729	0.152805981	0.49767832	0.342197294	0.326850781	0.330635068	0.365485468	0.4127312	0.4112478	0.5342996	0.4922289	0.190194792	0.605834808
TCGA-A2-A0T0-01A-22R-A084-07	0.413988621	0.290211648	0.069949866	0.488082961	0.352328731	0.361418286	0.307439703	0.321928177	0.0853489	0.0840812	0.7697781	0.1825701	0.068173681	0.414749778
TCGA-A2-A0T1-01A-21R-A084-07	0.533902723	0.518361092	0.127286415	0.527406641	0.356774562	0.337303327	0.351177909	0.330585739	0.6635494	0.6624002	0.7727816	0.6696742	0.062384697	0.411476873
TCGA-A2-A0T2-01A-11R-A084-07	0.267559876	0.214548668	0.034030069	0.363900628	0.432103861	0.409368153	0.408887578	0.384880181	0.201132	0.1987248	0.8433164	0.1735888	0.043051734	0.315029358
TCGA-A2-A0T3-01A-21R-A115-07	0.602189137	0.501535821	0.064621318	0.40952782	0.301805654	0.304238484	0.328509516	0.33474673	0.1021494	0.1005938	0.5246366	0.1694148	0.123154065	0.509455206
TCGA-A2-A0T4-01A-31R-A084-07	0.476686494	0.327137398	0.126507746	0.499045908	0.31160779	0.336435662	0.26620157	0.286614195	0.1115701	0.1120885	0.4332753	0.1771529	0.042071184	0.363677394
TCGA-A2-A0T5-01A-21R-A084-07	0.625801498	0.447557156	0.055669109	0.406157496	0.44436355	0.41835526	0.414003327	0.439301427	0.1245082	0.124118	0.6083951	0.1750038	0.05049718	0.360960171
TCGA-A2-A0T6-01A-11R-A084-07	0.63214196	0.581274125	0.10857478	0.45787678	0.3031112	0.283377662	0.269930886	0.303920271	0.1061055	0.1064464	0.4224407	0.2242528	0.071420276	0.400999428
TCGA-A2-A0T7-01A-21R-A084-07	0.395435199	0.409488735	0.05588936	0.44980727	0.365215825	0.3681942	0.34023961	0.366499741	0.1150875	0.1155808	0.5402143	0.1248912	0.038262171	0.348529665
TCGA-A2-A0YC-01A-11R-A109-07	0.469467787	0.356544469	0.124179096	0.454329426	0.238681815	0.263303137	0.241938235	0.253381278	0.1386609	0.1390008	0.4641297	0.1323432	0.047886956	0.397545207
TCGA-A2-A0YD-01A-11R-A109-07	0.568398482	0.517072654	0.109015583	0.512576907	0.396859621	0.361882243	0.35789533	0.390596459	0.1221463	0.1226049	0.4943993	0.1150781	0.056760351	0.400462392
TCGA-A2-A0YE-01A-11R-A109-07	0.231542737	0.183565637	0.074972361	0.456558896	0.227198261	0.210696278	0.209305536	0.19522506	0.1460033	0.146425	0.3622505	0.1422297	0.045262141	0.320574669
TCGA-A2-A0YF-01A-21R-A109-07	0.481683505	0.375581642	0.127199263	0.471326573	0.23744736	0.235497956	0.253834417	0.265617447	0.0429493	0.042981	0.2272476	0.086705	0.082058262	0.449565029
TCGA-A2-A0YG-01A-21R-A109-07	0.599790719	0.649074517	0.137583556	0.514536671	0.202926919	0.196712279	0.23060916	0.206984217	0.6444982	0.642949	0.6743418	0.4951329	0.122433501	0.534765586
TCGA-A2-A0YH-01A-11R-A109-07	0.384762304	0.304791689	0.118224199	0.420122527	0.290749085	0.333996958	0.297506024	0.268091382	0.0804479	0.0792802	0.5714969	0.1152745	0.032375701	0.317413755
TCGA-A2-A0YI-01A-31R-A10J-07	0.594933049	0.521298124	0.125549801	0.474625868	0.220099574	0.215114763	0.227506094	0.241994336	0.0419034	0.0415895	0.2962869	0.105751	0.106188004	0.44766706
TCGA-A2-A0YJ-01A-11R-A109-07	0.790349966	0.740857975	0.070703178	0.410300234	0.523389813	0.516954651	0.545255766	0.523089957	0.7757367	0.7736652	0.8938358	0.8192384	0.213401221	0.685607051
TCGA-A2-A0YK-01A-22R-A109-07	0.472260175	0.426362209	0.056396665	0.411089928	0.297802135	0.288014681	0.251693829	0.289707855	0.1214411	0.1219367	0.326603	0.1116563	0.027947426	0.289427471
TCGA-A2-A0YL-01A-21R-A109-07	0.575508135	0.559093179	0.055346267	0.443261727	0.314553376	0.310877876	0.295911785	0.317370344	0.106182	0.1067138	0.3290724	0.075766	0.053324239	0.412503885
TCGA-A2-A0YM-01A-11R-A109-07	0.388342869	0.384056763	0.034865865	0.375095025	0.334377092	0.34218322	0.318703783	0.310816048	0.0681634	0.067497	0.6595176	0.1598435	0.034868172	0.337537578
TCGA-A2-A0YT-01A-11R-A109-07	0.315462598	0.350081748	0.140458772	0.49647619	0.262133816	0.301921625	0.310397843	0.310762077	0.1129665	0.1112069	0.691657	0.074909	0.057855784	0.370383185
TCGA-A2-A1FV-01A-11R-A13Q-07	0.526881734	0.403623813	0.110202221	0.405775188	0.157022279	0.143438676	0.17839729	0.211139506	0.062705	0.0626681	0.4166042	0.0763053	0.064612887	0.420314753
TCGA-A2-A1FW-01A-11R-A13Q-07	0.458934597	0.398056692	0.133817427	0.45124558	0.088021802	0.088765045	0.112561982	0.119739467	0.0511036	0.0504138	0.4650478	0.0765927	0.08298694	0.453077794
TCGA-A2-A1FX-01A-11R-A13Q-07	0.398544523	0.285739024	0.099743589	0.419971871	0.299337423	0.320229457	0.318052467	0.307263785	0.1762394	0.174148	0.6340759	0.0800737	0.040083202	0.352702295
TCGA-A2-A1FZ-01A-51R-A14D-07	0.647201665	0.61298315	0.121623025	0.506838553	0.348243457	0.347402987	0.323784428	0.364898447	0.1926241	0.1928137	0.4817137	0.182632	0.110886883	0.505050529
TCGA-A2-A1G0-01A-11R-A13Q-07	0.676379453	0.612225118	0.146243906	0.484098887	0.330314253	0.312413962	0.328637463	0.37625956	0.3439147	0.3423148	0.6261903	0.3061136	0.126001238	0.533613486
TCGA-A2-A1G1-01A-21R-A13Q-07	0.817276955	0.862003575	0.016934798	0.172503328	0.419288248	0.383713206	0.388781497	0.384404594	0.8606275	0.8592215	0.8413954	0.8474055	0.12070734	0.600157968
TCGA-A2-A1G4-01A-11R-A13Q-07	0.770530127	0.586125832	0.14472114	0.430478194	0.289269795	0.282549365	0.33104805	0.345081282	0.2496009	0.246581	0.7047555	0.1330305	0.207739403	0.644878275
TCGA-A2-A1G6-01A-11R-A13Q-07	0.517201795	0.514128702	0.044789263	0.4200007	0.313826956	0.307307706	0.291473355	0.338413422	0.1688835	0.1692264	0.2721628	0.1116716	0.045660001	0.394700663
TCGA-A2-A259-01A-11R-A16F-07	0.283144513	0.222173015	0.05420188	0.424190134	0.277664485	0.267870264	0.283401677	0.309689761	0.019547	0.0193191	0.3490963	0.0519468	0.034769523	0.249384613
TCGA-A2-A25A-01A-12R-A16F-07	0.486338359	0.485684062	0.057714271	0.424865193	0.311941137	0.304186238	0.2705348	0.306808149	0.0848511	0.0854069	0.3987644	0.0983615	0.049033521	0.359499613
TCGA-A2-A25B-01A-11R-A169-07	0.41745257	0.443459584	0.120221399	0.450276652	0.24855886	0.291369081	0.294064163	0.282833301	0.0797878	0.0784939	0.6332621	0.0575959	0.07117574	0.416250562
TCGA-A2-A25C-01A-11R-A169-07	0.545990744	0.412445938	0.150184039	0.496108225	0.281730571	0.292943079	0.267351336	0.274157953	0.165016	0.165136	0.5397435	0.1070862	0.076837257	0.452819112
TCGA-A2-A25D-01A-12R-A16F-07	0.355762508	0.248311686	0.14306789	0.503448847	0.200233154	0.211548233	0.220682713	0.222992504	0.0591621	0.0586712	0.3598716	0.113478	0.042313623	0.308586121
TCGA-A2-A25E-01A-11R-A169-07	0.5318218	0.476313548	0.141324357	0.490213649	0.238920006	0.263148247	0.264336759	0.283754276	0.2985558	0.2955235	0.7111038	0.0947884	0.087455975	0.485483345
TCGA-A2-A25F-01A-11R-A169-07	0.202003231	0.220485234	0.104568459	0.490108112	0.180938318	0.197311942	0.166558797	0.162831612	0.0156379	0.0158288	0.2840234	0.0509752	0.025036198	0.148294589
TCGA-A2-A3KC-01A-11R-A213-07	0.570340063	0.483217612	0.101528119	0.48879813	0.39454729	0.365417363	0.36340413	0.402455681	0.2012209	0.2010391	0.5860368	0.1790211	0.096505016	0.502297604
TCGA-A2-A3KD-01A-12R-A213-07	0.701416257	0.63856019	0.139661751	0.520900165	0.383374782	0.373251349	0.384770106	0.407182873	0.1364313	0.1361597	0.6068324	0.1341021	0.138590228	0.572287266
TCGA-A2-A3XS-01A-11R-A22U-07	0.488570832	0.453437477	0.137778565	0.468247482	0.461547037	0.441303735	0.427582858	0.4168625	0.4717408	0.4691208	0.8773026	0.3593165	0.08342669	0.525716281
TCGA-A2-A3XT-01A-11R-A22U-07	0.176680783	0.14029895	0.056776551	0.446378147	0.146833123	0.172751202	0.16250538	0.149261602	0.0124647	0.0125203	0.3470774	0.0672023	0.024307973	0.194060677
TCGA-A2-A3XU-01A-12R-A22U-07	0.234600349	0.249810427	0.057958335	0.392310871	0.193564684	0.225528561	0.269601072	0.255629921	0.0677599	0.0682075	0.6627806	0.1411169	0.073721468	0.401777179
TCGA-A2-A3XV-01A-21R-A239-07	0.598231775	0.490070384	0.117414707	0.501239751	0.263848392	0.215322727	0.283017627	0.292567405	0.4054896	0.4024192	0.6585445	0.3611423	0.202073463	0.591718327
TCGA-A2-A3XW-01A-11R-A239-07	0.240231617	0.134761849	0.003557973	0.004441634	0.401013304	0.377864382	0.386804115	0.367062617	0.1293638	0.1279535	0.6915727	0.2190167	0.015005153	0.032786297
TCGA-A2-A3XX-01A-21R-A239-07	0.37606754	0.382091869	0.073513827	0.465226239	0.476515778	0.461254669	0.47764201	0.459491247	0.3604725	0.3585853	0.824954	0.4154697	0.062872648	0.443159485
TCGA-A2-A3XY-01A-11R-A239-07	0.410085227	0.462309167	0.10940178	0.459310774	0.409844704	0.408821881	0.378289686	0.402454434	0.1894561	0.1896844	0.6061351	0.2143719	0.040609045	0.34035897
TCGA-A2-A3XZ-01A-42R-A239-07	0.559480843	0.551658378	0.133173906	0.501488208	0.376693117	0.336754578	0.355401855	0.35549414	0.6855386	0.6846157	0.679571	0.590623	0.082361966	0.46074046
TCGA-A2-A3Y0-01A-11R-A239-07	0.088976782	0.072828964	0.00938782	0.106336056	0.210681131	0.160992982	0.179619378	0.166877394	0.0264946	0.0259917	0.533437	0.0460512	0.010413445	0.031985449
TCGA-A2-A4RW-01A-21R-A266-07	0.641429229	0.52632127	0.08540856	0.464118446	0.31214854	0.303721386	0.302791564	0.331750867	0.1591158	0.1588842	0.4862891	0.2291939	0.09568289	0.490960693
TCGA-A2-A4RX-01A-11R-A266-07	0.690223205	0.773066363	0.056874611	0.382011101	0.482939008	0.470668834	0.450377031	0.467537351	0.1146823	0.1149873	0.6277009	0.2014847	0.091408966	0.443442965
TCGA-A2-A4RY-01A-31R-A266-07	0.541264219	0.470749211	0.034871573	0.442703401	0.405621022	0.370339357	0.348955556	0.409645595	0.2086	0.2087271	0.4304322	0.1712779	0.040973313	0.373430255
TCGA-A2-A4S0-01A-21R-A266-07	0.66340196	0.458726022	0.07180378	0.401667884	0.219088105	0.217723999	0.273211189	0.257121164	0.1746683	0.1722004	0.6208403	0.0964417	0.171476544	0.53371108
TCGA-A2-A4S1-01A-21R-A266-07	0.260864807	0.22894842	0.078027504	0.384684567	0.057383166	0.06878249	0.097299556	0.074102877	0.009697	0.0094695	0.316966	0.0398555	0.026248463	0.201870719
TCGA-A2-A4S2-01A-12R-A266-07	0.409332496	0.250394311	0.107103999	0.469089	0.283033146	0.303177995	0.276818082	0.267860781	0.0792858	0.0795687	0.4438396	0.1373721	0.042211312	0.309169819
TCGA-A2-A4S3-01A-21R-A266-07	0.436531085	0.362852004	0.125336901	0.467779286	0.303225411	0.309858572	0.301668843	0.306413884	0.1839027	0.1813332	0.7302077	0.0944975	0.058563188	0.441133259
TCGA-A7-A0CD-01A-11R-A00Z-07	0.757811039	0.641724817	0.148854995	0.483677602	0.301134655	0.266055349	0.332664427	0.351948241	0.2547398	0.2517843	0.6256473	0.3413006	0.200931541	0.624204183
TCGA-A7-A0CE-01A-11R-A00Z-07	0.328479	0.377681821	0.053291241	0.433189464	0.371292384	0.36314824	0.372923892	0.372632452	0.1900079	0.1902542	0.5541552	0.1783652	0.032897245	0.260255345
TCGA-A7-A0CG-01A-12R-A056-07	0.531905083	0.49135717	0.085904397	0.430086846	0.24243236	0.225722785	0.222664786	0.245891968	0.1484605	0.148881	0.2901614	0.1304425	0.059415452	0.389683839
TCGA-A7-A0CH-01A-21R-A00Z-07	0.603842729	0.482363794	0.111698129	0.459958178	0.274312925	0.250309573	0.258988699	0.280648822	0.0706158	0.0702243	0.3502014	0.1169624	0.100761746	0.48731783
TCGA-A7-A0CJ-01A-21R-A00Z-07	0.451470717	0.304729835	0.108993178	0.449928262	0.259151566	0.256422301	0.305799618	0.29076307	0.1124037	0.1109065	0.4317693	0.0774436	0.049623494	0.357877444
TCGA-A7-A0D9-01A-31R-A056-07	0.589868999	0.456070766	0.049144638	0.352728076	0.362063322	0.314994834	0.389498363	0.401770296	0.3597144	0.3567993	0.8146095	0.1222959	0.067340522	0.490311684
TCGA-A7-A0DA-01A-31R-A115-07	0.514619788	0.428624049	0.086103111	0.457407433	0.505596868	0.481924397	0.478438434	0.47757099	0.1467801	0.1459168	0.7989722	0.196608	0.063787094	0.443635857
TCGA-A7-A0DB-01A-11R-A00Z-07	0.479178921	0.412428064	0.105196679	0.473331748	0.285962642	0.261763628	0.244323398	0.29379656	0.1145844	0.1150925	0.3603887	0.1479417	0.088467613	0.437223583
TCGA-A7-A0DB-01A-11R-A277-07	0.545128699	0.523358257	0.088261277	0.447792374	0.190513743	0.168709308	0.165721148	0.209736797	0.0910755	0.0916264	0.2846904	0.1134782	0.073679289	0.421731214
TCGA-A7-A0DB-01C-02R-A277-07	0.504385654	0.487635939	0.037388707	0.245878859	0.051572671	0.040070459	0.05247759	0.067821336	0.027941	0.0274154	0.2424537	0.0731825	0.076663503	0.358636938
TCGA-A7-A13D-01A-13R-A12P-07	0.622631017	0.564043618	0.078970399	0.506878743	0.544807244	0.539581025	0.513076144	0.500253648	0.7108553	0.708382	0.9058816	0.6540686	0.131688698	0.538453304
