"","erk"
"X184A1",0.0959017652324541
"X184B5",0.177165573797267
"X21MT1",0.0717054862866805
"X21MT2",0.0562219575776947
"X21NT",0.072094532581286
"X21PT",0.0624754279427183
"X600MPE",0.793410804165554
"AU565",0.879807824825334
"BT474",0.966044286058879
"BT483",0.911744540392597
"BT549",0.161495018409344
"CAMA1",0.946742401667752
"EFM192A",0.915943779991651
"EFM192B",0.867198544922316
"EFM192C",0.948658113952205
"HCC1143",0.150036516784564
"HCC1395",0.288684519668458
"HCC1419",0.961973472740913
"HCC1428",0.887430739880835
"HCC1569",0.377386359795076
"HCC1599",0.785266749676585
"HCC1806",0.183859243633147
"HCC1937",0.164601467055547
"HCC1954",0.285349561058853
"HCC202",0.75998287934192
"HCC2218",0.958727324794692
"HCC3153",0.122032331419323
"HCC38",0.190794731276154
"HCC70",0.348652501816579
"HS578T",0.0430711506520587
"JIMT1",0.329873689884393
"LY2",0.906118697442243
"MB157",0.0170033994213735
"MCF10A",0.038881456429875
"MCF10F",0.0117546994773397
"MCF12A",0.0310201978249375
"MCF7",0.956193226666744
"MDAMB134VI",0.938132982437766
"MDAMB175",0.878648944940938
"MDAMB231",0.155956707733213
"MDAMB361",0.938836284200553
"MX1",0.0733102235627328
"SKBR3",0.888077040826289
"SUM1315",0.131331213542466
"SUM149PT",0.0713565749933803
"SUM225CWN",0.684688915520369
"SUM229PE",0.192895278500993
"SUM52PE",0.678298247452015
"T47D",0.94974352805837
"T47D.Kbluc",0.902943217180454
"UACC812",0.935453917235566
"UACC893",0.95223330903235
"ZR751",0.929742017951071
"ZR7530",0.954787857721437
"ZR75B",0.953678085157932
