"","erk"
"X184A1",0.0558747567345826
"X184B5",0.103894172054794
"X21MT1",0.0554906185485601
"X21MT2",0.0456729219348575
"X21NT",0.0567272889740776
"X21PT",0.0477642626287753
"X600MPE",0.737736901356437
"AU565",0.948282250864037
"BT474",0.975294098468487
"BT483",0.909645339786643
"BT549",0.0390716505506212
"CAMA1",0.962668558538199
"EFM192A",0.937503009153117
"EFM192B",0.924337362167331
"EFM192C",0.971526474252102
"HCC1143",0.0920191475889726
"HCC1395",0.198004293221167
"HCC1419",0.970599531660458
"HCC1428",0.84879978280327
"HCC1569",0.36915598252603
"HCC1599",0.753605043852404
"HCC1806",0.101282112814712
"HCC1937",0.0924569742136697
"HCC1954",0.283103704705386
"HCC202",0.767759858386167
"HCC2218",0.971521829745045
"HCC3153",0.116022498850755
"HCC38",0.0412437327291147
"HCC70",0.232481873547157
"HS578T",0.0372639157275176
"JIMT1",0.104721937853988
"LY2",0.813361386956637
"MB157",0.0130573517998275
"MCF10A",0.0269699012632368
"MCF10F",0.0104958577111467
"MCF12A",0.0395463805279081
"MCF7",0.950552300648752
"MDAMB134VI",0.953049056882334
"MDAMB175",0.884512586083589
"MDAMB231",0.0607387125149976
"MDAMB361",0.95200457213843
"MX1",0.222608695480447
"SKBR3",0.934806706616777
"SUM1315",0.155314921926955
"SUM149PT",0.0524299865713534
"SUM225CWN",0.693959713741238
"SUM229PE",0.118356798952668
"SUM52PE",0.582903971975086
"T47D",0.952420299471477
"T47D.Kbluc",0.908447165694271
"UACC812",0.944611277963501
"UACC893",0.967947258250144
"ZR751",0.957836888033522
"ZR7530",0.962628940383238
"ZR75B",0.969041603990801
