"","erk"
"X184A1",0.269313951554
"X184B5",0.242279694465901
"X21MT1",0.169568327897159
"X21MT2",0.0928546781048508
"X21NT",0.179294929374808
"X21PT",0.171320572193691
"X600MPE",0.446758210411883
"AU565",0.518362623513612
"BT474",0.54111547924582
"BT483",0.468687506901144
"BT549",0.298014272691529
"CAMA1",0.540719713990745
"EFM192A",0.616609937626408
"EFM192B",0.561518062591564
"EFM192C",0.592681746567668
"HCC1143",0.200171631144659
"HCC1395",0.331093505319935
"HCC1419",0.547322600791282
"HCC1428",0.575130878687367
"HCC1569",0.155644392899522
"HCC1599",0.357535133761929
"HCC1806",0.179107455729821
"HCC1937",0.285953181575894
"HCC1954",0.267678090971119
"HCC202",0.329717573816287
"HCC2218",0.470350131959
"HCC3153",0.230055334965156
"HCC38",0.277096646179256
"HCC70",0.329222410264481
"HS578T",0.13490831566884
"JIMT1",0.354449178361582
"LY2",0.628812235470306
"MB157",0.0328819727861509
"MCF10A",0.163219963904085
"MCF10F",0.0133647834764429
"MCF12A",0.0854899011417798
"MCF7",0.59548498909741
"MDAMB134VI",0.404641007171735
"MDAMB175",0.290136570190499
"MDAMB231",0.272192792453341
"MDAMB361",0.442674253711917
"MX1",0.082256367193964
"SKBR3",0.50163171317156
"SUM1315",0.287760969313752
"SUM149PT",0.237184403484596
"SUM225CWN",0.339273316622727
"SUM229PE",0.314179252022757
"SUM52PE",0.519512909089715
"T47D",0.566966536332282
"T47D.Kbluc",0.49723464292971
"UACC812",0.527978363087728
"UACC893",0.588842747568934
"ZR751",0.513658671898881
"ZR7530",0.551886141143729
"ZR75B",0.4785633093642
