"","erk"
"X184A1",0.45045153809248
"X184B5",0.400242654497619
"X21MT1",0.266633490013217
"X21MT2",0.192283271104389
"X21NT",0.293582071211486
"X21PT",0.291947151572873
"X600MPE",0.508843353947199
"AU565",0.636384438445783
"BT474",0.704169892926427
"BT483",0.557940026210281
"BT549",0.455513349113452
"CAMA1",0.675012226378844
"EFM192A",0.698200009345561
"EFM192B",0.661783309487888
"EFM192C",0.659989961708397
"HCC1143",0.31863806092265
"HCC1395",0.535269731101293
"HCC1419",0.639556551347174
"HCC1428",0.714350307553076
"HCC1569",0.289760240124783
"HCC1599",0.455384469618663
"HCC1806",0.331662442207431
"HCC1937",0.358538931605793
"HCC1954",0.404062207657222
"HCC202",0.425005150889519
"HCC2218",0.589262376599224
"HCC3153",0.394964855142125
"HCC38",0.439258050421
"HCC70",0.404387191998626
"HS578T",0.347142449270422
"JIMT1",0.427694281637259
"LY2",0.738036787065876
"MB157",0.0716647894458971
"MCF10A",0.375548686850443
"MCF10F",0.0397319731061227
"MCF12A",0.327873247161106
"MCF7",0.724541636338965
"MDAMB134VI",0.52363028345517
"MDAMB175",0.398822206080074
"MDAMB231",0.395550885395443
"MDAMB361",0.539766174457057
"MX1",0.214610925723988
"SKBR3",0.64427117678799
"SUM1315",0.506781406717017
"SUM149PT",0.375255696626571
"SUM225CWN",0.451314520558384
"SUM229PE",0.444221208641156
"SUM52PE",0.62918898399468
"T47D",0.709894488595154
"T47D.Kbluc",0.635495378623987
"UACC812",0.628699374941152
"UACC893",0.676944408475364
"ZR751",0.589629985970147
"ZR7530",0.643565438820724
"ZR75B",0.618740273680627
