"","erk"
"X184A1",0.108886465423763
"X184B5",0.233343237207547
"X21MT1",0.082110087148021
"X21MT2",0.0908150510250232
"X21NT",0.0744691067316819
"X21PT",0.072339936339033
"X600MPE",0.867100384429312
"AU565",0.875010440042425
"BT474",0.930196386508607
"BT483",0.863603713512501
"BT549",0.180229114748441
"CAMA1",0.950600531684835
"EFM192A",0.844036720542429
"EFM192B",0.788568239334968
"EFM192C",0.93868364593154
"HCC1143",0.143399783674028
"HCC1395",0.253410040006417
"HCC1419",0.943397258425403
"HCC1428",0.801148603591686
"HCC1569",0.700815303410313
"HCC1599",0.806743974979596
"HCC1806",0.130056660576733
"HCC1937",0.25733027902688
"HCC1954",0.337484195641087
"HCC202",0.733482506037791
"HCC2218",0.913016737176735
"HCC3153",0.207035052156955
"HCC38",0.16983574289211
"HCC70",0.368504232485176
"HS578T",0.0882023089916746
"JIMT1",0.291887927148491
"LY2",0.720490046913762
"MB157",0.0231695096510843
"MCF10A",0.0505259916631815
"MCF10F",0.0311257645363404
"MCF12A",0.0786228541672108
"MCF7",0.92416201271054
"MDAMB134VI",0.917558317834488
"MDAMB175",0.813748805830498
"MDAMB231",0.167278369243602
"MDAMB361",0.900146909768607
"MX1",0.387685787893196
"SKBR3",0.87437312111405
"SUM1315",0.17462952429241
"SUM149PT",0.0991815866931993
"SUM225CWN",0.773086026843327
"SUM229PE",0.240365198198592
"SUM52PE",0.700361918599029
"T47D",0.935429766226423
"T47D.Kbluc",0.896010018099799
"UACC812",0.925631895555357
"UACC893",0.945057233267127
"ZR751",0.948038640093042
"ZR7530",0.939061309480459
"ZR75B",0.949019796109324
