"","erk"
"X184A1",0.47061768037081
"X184B5",0.484950872484365
"X21MT1",0.225323300586766
"X21MT2",0.174321893513486
"X21NT",0.270036184178299
"X21PT",0.272911347238254
"X600MPE",0.612376472234225
"AU565",0.700272044150177
"BT474",0.78258371424317
"BT483",0.720711517412712
"BT549",0.612229534449579
"CAMA1",0.777089748080881
"EFM192A",0.789226219078705
"EFM192B",0.761667568354232
"EFM192C",0.772087084670259
"HCC1143",0.439257982824736
"HCC1395",0.645884733575308
"HCC1419",0.760666717514516
"HCC1428",0.813062924242714
"HCC1569",0.531129419046557
"HCC1599",0.54890332259948
"HCC1806",0.366389796934019
"HCC1937",0.55823830126603
"HCC1954",0.493316761526225
"HCC202",0.535225447525353
"HCC2218",0.664021839162626
"HCC3153",0.46718200779655
"HCC38",0.51422897904198
"HCC70",0.538550866421884
"HS578T",0.440697809753054
"JIMT1",0.619748612091663
"LY2",0.820403888060767
"MB157",0.0624373323973214
"MCF10A",0.360641842526728
"MCF10F",0.0336238935277172
"MCF12A",0.312291151343377
"MCF7",0.792489339090209
"MDAMB134VI",0.624694857261548
"MDAMB175",0.470703413762495
"MDAMB231",0.539785024708874
"MDAMB361",0.678738910477959
"MX1",0.395887815676248
"SKBR3",0.715737103489157
"SUM1315",0.540319834107732
"SUM149PT",0.332876865248905
"SUM225CWN",0.541640383290267
"SUM229PE",0.524193707027252
"SUM52PE",0.766292717447138
"T47D",0.799994499846807
"T47D.Kbluc",0.698946031145675
"UACC812",0.709160353415053
"UACC893",0.745654894166338
"ZR751",0.767095060346031
"ZR7530",0.705337289588986
"ZR75B",0.729558723235226
