"","erk"
"X184A1",0.265151279103783
"X184B5",0.272123780711764
"X21MT1",0.0894003687719464
"X21MT2",0.0632531336598088
"X21NT",0.116589627498055
"X21PT",0.11460840451789
"X600MPE",0.385619423199946
"AU565",0.471494618093498
"BT474",0.552655340000818
"BT483",0.490261791743124
"BT549",0.393362582738073
"CAMA1",0.544571861659399
"EFM192A",0.569540954284936
"EFM192B",0.540330014639218
"EFM192C",0.546811160611359
"HCC1143",0.230396729339946
"HCC1395",0.43678639048817
"HCC1419",0.533092155224899
"HCC1428",0.587359478604188
"HCC1569",0.333991627560692
"HCC1599",0.325280484659824
"HCC1806",0.169139442362425
"HCC1937",0.352938794416141
"HCC1954",0.281041249024143
"HCC202",0.341071293738578
"HCC2218",0.43191087038827
"HCC3153",0.28025052111255
"HCC38",0.300604985075099
"HCC70",0.345215774871694
"HS578T",0.237063649945117
"JIMT1",0.371451067888474
"LY2",0.603777365085951
"MB157",0.0333428184752663
"MCF10A",0.155686452209371
"MCF10F",0.0214292557164533
"MCF12A",0.125841603563485
"MCF7",0.568791860568271
"MDAMB134VI",0.389242869548509
"MDAMB175",0.250976021535005
"MDAMB231",0.321238789388171
"MDAMB361",0.44357923690193
"MX1",0.216422948930896
"SKBR3",0.487485126123602
"SUM1315",0.333627858819124
"SUM149PT",0.158251617767887
"SUM225CWN",0.309152342361339
"SUM229PE",0.301510340670247
"SUM52PE",0.530292361174931
"T47D",0.562618196774553
"T47D.Kbluc",0.470974793793611
"UACC812",0.477081865230063
"UACC893",0.511810315836272
"ZR751",0.543629552647827
"ZR7530",0.46295744834843
"ZR75B",0.494778197490225
