"","her2"
"ERBB2",7.65830951051178
"KRT8",4.57344695067635
"ATP6V0A4",4.30090639644897
"EEF1A2",3.74087196846776
"KRT18",3.62925456488307
"CRYAB",-3.71198849406191
"CALB2",3.41461315065818
"ANGPTL4",3.64400358644336
"UCA1",3.66192933533431
"CLDN7",3.75495434445886
"KLK6",3.29400917422175
"EPGN",-3.32958655647357
"PDGFB",3.42487967419519
"SAA2",-3.78415873245643
"MYEOV",4.11274848833094
