"","erk"
"X184A1",0.28101724073105
"X184B5",0.252195497812539
"X21MT1",0.260649689528022
"X21MT2",0.200608680632179
"X21NT",0.264852993081423
"X21PT",0.279618682529691
"X600MPE",0.209253608029628
"AU565",0.361148493405776
"BT474",0.477081366612075
"BT483",0.305542927782232
"BT549",0.350817209767728
"CAMA1",0.468910783222287
"EFM192A",0.473303847720583
"EFM192B",0.446064488788501
"EFM192C",0.409466378304921
"HCC1143",0.267288886105374
"HCC1395",0.374142346596989
"HCC1419",0.432372375538898
"HCC1428",0.476968191467386
"HCC1569",0.172997016184559
"HCC1599",0.267211746155954
"HCC1806",0.25029412251942
"HCC1937",0.215271822195486
"HCC1954",0.296968282835689
"HCC202",0.138459049409432
"HCC2218",0.322244064067612
"HCC3153",0.269208734344268
"HCC38",0.292152402165611
"HCC70",0.2422293676471
"HS578T",0.297411006899857
"JIMT1",0.336303374570883
"LY2",0.500553719708795
"MB157",0.0662799514781692
"MCF10A",0.297176477436267
"MCF10F",0.0343027442986807
"MCF12A",0.301006079023542
"MCF7",0.489039868734729
"MDAMB134VI",0.300922420798586
"MDAMB175",0.232961545636564
"MDAMB231",0.326248863694603
"MDAMB361",0.369350773705808
"MX1",0.0947733206255094
"SKBR3",0.36267414336219
"SUM1315",0.326955522126011
"SUM149PT",0.238478000691004
"SUM225CWN",0.287186154928298
"SUM229PE",0.321782701646577
"SUM52PE",0.434295286344524
"T47D",0.442953057505442
"T47D.Kbluc",0.411407569958154
"UACC812",0.447034903415275
"UACC893",0.399255157285418
"ZR751",0.377859837806572
"ZR7530",0.436511312592735
"ZR75B",0.427763217203696
