"","erk"
"X184A1",0.950758867824713
"X184B5",0.891654261736207
"X21MT1",0.934589678176093
"X21MT2",0.954848358727234
"X21NT",0.935719736445712
"X21PT",0.946696691324479
"X600MPE",0.313038556416848
"AU565",0.0524543589189908
"BT474",0.0253789395682486
"BT483",0.0528559243371001
"BT549",0.951488941393457
"CAMA1",0.0288749996205257
"EFM192A",0.0343907078189567
"EFM192B",0.0657041305414187
"EFM192C",0.0189340155167385
"HCC1143",0.925025323528851
"HCC1395",0.876283417426789
"HCC1419",0.0208483699821897
"HCC1428",0.0905357194991013
"HCC1569",0.69728167801162
"HCC1599",0.303421940072091
"HCC1806",0.907915222895766
"HCC1937",0.915290184024411
"HCC1954",0.741558010344418
"HCC202",0.245513032780913
"HCC2218",0.0219414459091807
"HCC3153",0.891247031857625
"HCC38",0.966933678060094
"HCC70",0.78172103549581
"HS578T",0.965276272319521
"JIMT1",0.890043281113046
"LY2",0.0771123836354002
"MB157",0.989170937934589
"MCF10A",0.97763060081142
"MCF10F",0.991770924979796
"MCF12A",0.971830201969825
"MCF7",0.0328566806953662
"MDAMB134VI",0.0373151052598249
"MDAMB175",0.101916832270903
"MDAMB231",0.952333642668135
"MDAMB361",0.0501095099794965
"MX1",0.796604496981029
"SKBR3",0.0877164125888862
"SUM1315",0.779137984332514
"SUM149PT",0.96067898059948
"SUM225CWN",0.251608705745537
"SUM229PE",0.888040053322557
"SUM52PE",0.395252165880515
"T47D",0.0359731586147556
"T47D.Kbluc",0.104586762788324
"UACC812",0.0329676193764982
"UACC893",0.02541855886397
"ZR751",0.0445458641919871
"ZR7530",0.0251461135332332
"ZR75B",0.02955463948801
