"","erk"
"X184A1",0.0288929645693146
"X184B5",0.0899670277793798
"X21MT1",0.0844539629456985
"X21MT2",0.0366071649285505
"X21NT",0.0650883356189474
"X21PT",0.0553676675978185
"X600MPE",0.767922036985319
"AU565",0.947282516764773
"BT474",0.981007934696378
"BT483",0.962364258101075
"BT549",0.037491799197374
"CAMA1",0.971389478144965
"EFM192A",0.975707667033095
"EFM192B",0.944874696396811
"EFM192C",0.987466678696011
"HCC1143",0.0822666443406676
"HCC1395",0.07106037839095
"HCC1419",0.983399868946015
"HCC1428",0.931196375048151
"HCC1569",0.235970897068546
"HCC1599",0.645309469275067
"HCC1806",0.0775264170985219
"HCC1937",0.0822798685182093
"HCC1954",0.272720983647691
"HCC202",0.740200061596834
"HCC2218",0.97338928548085
"HCC3153",0.138772686622587
"HCC38",0.0250252341144278
"HCC70",0.247637099301003
"HS578T",0.0291651891275739
"JIMT1",0.0881700459212456
"LY2",0.93335764454932
"MB157",0.00848286708672054
"MCF10A",0.0160886817720842
"MCF10F",0.00586268749777569
"MCF12A",0.0241940904528892
"MCF7",0.96992153042558
"MDAMB134VI",0.966820109999059
"MDAMB175",0.929510516077102
"MDAMB231",0.0317874671938474
"MDAMB361",0.938812445808066
"MX1",0.17154639689675
"SKBR3",0.918600624815886
"SUM1315",0.157785764630346
"SUM149PT",0.0300500887977176
"SUM225CWN",0.750356684608743
"SUM229PE",0.139172313690745
"SUM52PE",0.616958074839964
"T47D",0.967725593989567
"T47D.Kbluc",0.892924898694243
"UACC812",0.973445209619219
"UACC893",0.960618376458424
"ZR751",0.968682470125763
"ZR7530",0.980862132126385
"ZR75B",0.97436168611375
